Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,49.3,0.7,0.3,-1013.11,-1.87
1,51.12,0.7,0.3,-1021.57,-10.09
2,50.11,0.7,0.3,-1031.3,-10.08
3,38.55,0.7,0.3,-1020.57,-10.02
4,35.49,0.7,0.3,-1022.12,-10.15
5,32.97,0.7,0.3,-1018.54,-10.1
6,39.24,0.7,0.3,-1023.02,-10.15
7,46.92,0.7,0.3,-1031.29,-10.24
8,26.75,0.7,0.3,-123.29,47.36
9,32.79,0.7,0.3,-98.59,39.83
10,62.06,0.7,0.3,-1042.3,-10.13
11,18.46,0.7,0.3,-435.18,89.19
12,48.66,0.7,0.3,-53.14,28.92
13,31.78,0.7,0.3,-184.99,57.95
14,37.22,0.7,0.3,-1019.56,-10.1
15,44.73,0.7,0.3,-1034.07,-10.29
16,51.09,0.7,0.3,-1041.99,-10.35
17,42.2,0.7,0.3,-1031.46,-10.1
18,37.15,0.7,0.3,-1025.23,-10.08
19,50.27,0.7,0.3,-1041.64,-10.26
20,19.81,0.7,0.3,-41.7,32.02
21,35.57,0.7,0.3,-1024.97,-10.1
22,30.98,0.7,0.3,-1018.18,-7.91
23,45.34,0.7,0.3,-1037.09,-10.13
24,32.87,0.7,0.3,-1023.87,-10.12
25,36.36,0.7,0.3,-1027.7,-10.05
26,39.76,0.7,0.3,-1031.72,-10.24
27,50.35,0.7,0.3,-1042.27,-10.25
28,27.18,0.7,0.3,-1012.84,-4.84
29,43.81,0.7,0.3,-1035.29,-10.34
30,15.75,0.7,0.3,-124.71,52.5
31,37.3,0.7,0.3,-1028.11,-10.16
32,36.85,0.7,0.3,-1027.68,-10.12
33,30.48,0.7,0.3,-1019.69,-10.02
34,44.47,0.7,0.3,-1035.53,-10.22
35,23.69,0.7,0.3,-1006.13,-3.08
36,36.25,0.7,0.3,-1026.43,-10.18
37,26.28,0.7,0.3,-1012.91,-10.02
38,46.44,0.7,0.3,-1038.92,-10.35
39,39.31,0.7,0.3,-1030.72,-10.06
40,46.01,0.7,0.3,-1036.3,-10.07
41,53.18,0.7,0.3,-1045.96,-10.38
42,29.25,0.7,0.3,-1018.12,-10.06
43,58.41,0.7,0.3,-1051.84,-10.17
44,27.05,0.7,0.3,-1015.49,-10.03
45,45.47,0.7,0.3,-1036.55,-10.01
46,56.47,0.7,0.3,-1049.25,-10.51
47,37.82,0.7,0.3,-1028.88,-10.05
48,41.67,0.7,0.3,-1032.82,-10.24
49,51.45,0.7,0.3,-1044.82,-10.1
50,18.96,0.7,0.3,-73.12,36.64
51,49.77,0.7,0.3,-1041.86,-10.38
52,20.14,0.7,0.3,-13.87,21.06
53,32.13,0.7,0.3,-1020.83,-10.01
54,61.69,0.7,0.3,-1055.61,-10.49
55,35.8,0.7,0.3,-1026.67,-10.12
56,49.54,0.7,0.3,-1042.91,-10.01
57,22.0,0.7,0.3,0,6.73
58,27.9,0.7,0.3,-1015.06,-10.08
59,37.25,0.7,0.3,-1027.15,-10.01
60,34.31,0.7,0.3,-1024.34,-10.18
61,41.89,0.7,0.3,-1034.34,-10.29
62,23.67,0.7,0.3,-1007.36,-7.44
63,25.24,0.7,0.3,-1011.17,-10.0
64,21.09,0.7,0.3,-7.36,13.61
65,42.03,0.7,0.3,-1033.07,-10.03
66,34.93,0.7,0.3,-1025.07,-10.16
67,51.38,0.7,0.3,-1043.69,-10.12
68,28.55,0.7,0.3,-1017.33,-10.15
69,38.23,0.7,0.3,-1028.3,-10.01
70,9.75,0.7,0.3,-294.14,80.9
71,27.08,0.7,0.3,-1013.44,-10.03
72,39.57,0.7,0.3,-1031.14,-10.34
73,46.96,0.7,0.3,-1038.81,-10.2
