Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
101,40.94,40.94,0.0,32.48,0.58,-54.39,34.0
102,12.71,12.71,0.0,63.07,0.42,-362.55,90.15
103,23.22,23.22,0.0,56.32,0.69,-246.23,72.61
104,25.98,25.98,0.0,3.88,0.43,-258.95,73.49
105,9.15,9.15,0.0,14.16,0.53,-431.77,93.97
106,28.05,28.05,0.0,86.88,0.72,-167.82,61.52
107,30.27,30.27,0.0,56.8,0.51,-160.12,55.8
108,17.06,17.06,0.0,14.24,0.52,-281.04,80.07
109,32.28,31.59,0.0,54.29,0.47,-137.99,48.84
110,22.49,22.49,0.0,3.67,0.62,-337.08,78.59
111,16.6,16.6,0.0,4.44,0.53,-347.62,84.19
112,5.67,5.67,0.0,55.9,0.83,-493.33,97.18
113,34.0,34.0,0.0,74.77,0.24,-104.37,45.34
114,7.65,7.65,0.0,49.73,0.45,-462.91,95.61
115,13.37,13.37,0.0,13.19,0.75,-437.39,89.31
116,12.61,12.61,0.0,14.06,0.33,-364.74,90.27
117,22.3,22.3,0.0,6.57,0.77,-320.4,77.55
118,33.81,33.81,0.0,26.98,0.55,-108.14,50.85
119,40.3,40.3,0.0,93.5,0.43,-33.05,25.36
120,8.6,8.35,0.0,44.71,0.58,-433.3,94.05
121,43.0,43.0,0.0,56.58,0.46,-12.22,20.62
122,5.7,5.7,0.0,98.57,0.38,-486.47,96.83
123,43.56,42.79,0.0,18.96,0.4,-42.9,32.21
124,5.95,5.95,0.0,97.82,0.54,-490.14,97.01
125,32.35,32.35,0.0,1.31,0.47,-154.4,55.29
126,27.55,27.55,0.0,58.12,0.36,-182.58,62.74
127,39.26,39.26,0.0,74.69,0.55,-52.69,28.85
128,18.49,18.49,0.0,58.83,0.53,-305.8,81.64
129,32.28,32.28,0.0,26.01,0.31,-136.24,53.61
130,26.08,25.45,0.0,11.5,0.33,-255.26,68.26
131,35.99,35.27,0.0,84.67,0.3,-81.49,37.73
132,6.56,6.56,0.0,53.7,0.66,-480.99,96.55
133,31.87,31.87,0.0,30.74,0.74,-129.16,52.93
134,17.94,17.46,0.0,93.18,0.55,-307.1,81.72
135,9.19,9.19,0.0,94.78,0.45,-431.09,93.93
136,34.4,34.4,0.0,51.2,0.25,-61.47,40.2
137,40.79,40.79,0.0,37.17,0.46,-45.46,32.62
138,9.28,9.28,0.0,6.37,0.33,-425.89,88.68
139,10.37,10.37,0.0,48.09,0.27,-409.89,92.78
140,21.08,21.08,0.0,21.84,0.56,-251.79,73.0
141,12.82,12.82,0.0,11.72,0.52,-437.65,89.33
142,43.65,43.65,-0.0,87.2,0.69,-4.39,12.37
143,12.01,12.01,-0.0,16.14,0.68,-377.27,90.98
144,32.32,32.32,-0.0,68.32,0.33,-101.64,50.17
145,13.52,13.52,-0.0,41.04,0.5,-433.74,89.11
146,14.7,14.7,-0.0,41.93,0.56,-405.19,87.53
147,16.21,15.75,-0.0,85.58,0.5,-341.15,83.8
148,22.05,22.05,-0.0,69.34,0.55,-265.96,73.97
149,33.95,33.95,-0.0,31.93,0.64,-132.69,48.31
150,22.36,22.36,-0.0,87.91,0.49,-272.04,74.38
151,20.98,20.98,-0.0,60.77,0.42,-313.57,77.11
152,44.04,44.04,-0.0,25.8,0.46,-54.62,29.16
153,20.81,20.81,-0.0,88.06,0.52,-303.56,76.47
154,38.46,38.46,-0.0,66.72,0.38,-42.78,27.16
155,12.19,12.19,-0.0,45.46,0.38,-363.28,90.19
156,41.62,41.62,-0.0,12.49,0.34,-89.07,38.68
157,34.71,34.71,-0.0,27.4,0.67,-140.7,49.1
158,26.05,26.05,-0.0,62.48,0.55,-228.87,66.33
159,16.3,16.3,-0.0,97.6,0.48,-364.48,85.19
160,29.67,29.67,-0.0,23.97,0.74,-151.53,60.13
161,43.33,43.33,-0.0,35.99,0.57,-40.07,26.68
162,32.58,32.58,-0.0,37.02,0.43,-143.96,49.42
163,29.94,29.94,-0.0,54.29,0.45,-170.0,56.67
164,42.26,42.26,-0.0,64.45,0.55,-10.8,20.23
165,11.55,11.24,-0.0,2.22,0.51,-360.31,90.02
166,10.69,10.69,-0.0,64.12,0.37,-403.78,92.45
167,8.82,8.82,-0.0,36.2,0.38,-429.43,93.84
168,29.43,29.43,-0.0,7.59,0.49,-223.24,65.91
169,5.54,5.54,-0.0,55.58,0.69,-494.37,97.23
170,10.4,10.4,-0.0,43.54,0.49,-409.21,92.75
171,35.72,35.72,-0.0,65.73,0.19,-61.22,40.16
172,6.5,6.5,-0.0,5.59,0.51,-477.57,96.37
173,24.1,24.1,-0.0,88.57,0.42,-219.88,70.73
174,27.95,27.31,-0.0,53.34,0.74,-155.41,60.47
175,31.73,31.73,-0.0,55.79,0.05,-117.88,51.83
176,27.34,27.34,-0.0,67.83,0.39,-189.12,63.26
177,33.34,33.34,-0.0,69.76,0.49,-122.36,47.26
178,14.95,14.95,-0.0,14.97,0.42,-392.84,86.83
179,44.65,43.87,10.7,78.72,0.32,0,6.82
180,22.69,22.69,10.7,58.88,0.6,-262.04,73.7
181,20.55,20.55,10.7,67.09,0.43,-326.31,77.92
182,36.55,36.55,10.7,92.93,0.69,-80.53,37.61
183,11.28,11.28,10.7,80.46,0.59,-392.17,91.81
184,32.27,32.27,10.7,85.64,0.67,-102.95,50.31
185,35.88,35.88,10.7,28.65,0.74,-115.41,46.53
186,24.15,24.15,10.7,94.97,0.42,-218.44,70.62
187,35.46,35.46,10.7,60.22,0.93,-64.15,40.55
188,10.58,10.58,10.7,76.24,0.5,-405.83,92.56
189,37.52,37.52,10.7,62.54,0.19,-58.77,29.81
190,38.99,38.99,10.7,25.27,0.41,-62.7,40.36
191,10.03,10.03,10.7,74.29,0.66,-416.11,93.12
192,18.14,18.14,10.7,78.69,0.54,-315.34,82.23
193,18.32,18.32,10.7,44.48,0.44,-296.63,81.06
194,12.26,12.26,10.7,83.76,0.99,-372.07,90.69
195,9.74,9.74,10.7,55.18,0.64,-421.35,93.41
196,21.61,21.61,10.7,41.22,0.62,-294.46,75.87
197,29.65,29.65,10.7,87.74,0.38,-178.85,57.43
198,26.22,26.22,10.7,53.01,0.53,-223.55,65.94
199,27.17,27.17,10.7,8.46,0.58,-253.92,68.17
200,23.41,23.41,10.7,99.63,0.18,-225.18,71.11
201,10.28,10.28,10.7,46.03,0.56,-411.65,92.88
202,11.5,11.5,10.7,63.45,0.64,-387.75,91.56
203,21.14,21.14,10.7,2.39,0.58,-298.15,81.16
204,44.41,44.41,0.0,76.9,0.55,-0.63,10.4
205,33.6,33.6,0.0,61.33,0.72,-115.19,46.51
206,6.03,6.03,0.0,84.56,0.35,-488.04,96.91
207,7.19,7.19,0.0,59.26,0.56,-472.84,96.13
208,33.32,33.32,0.0,44.65,0.65,-109.22,45.87
209,39.94,39.19,0.0,22.77,0.4,-76.65,37.1
210,22.93,22.93,0.0,65.26,0.87,-239.72,72.15
211,5.55,5.55,0.0,76.76,0.44,-487.89,96.9
212,36.45,36.45,0.0,79.82,0.39,-82.78,37.9
213,20.13,20.13,0.0,9.37,0.72,-342.99,78.96
214,29.86,29.86,0.0,93.7,0.61,-157.02,55.52
215,16.3,16.3,0.0,37.28,0.29,-364.53,85.19
216,13.39,13.39,0.0,68.31,0.63,-436.88,89.29
217,15.28,15.28,0.0,25.44,0.57,-390.79,86.71
218,29.32,29.32,0.0,17.04,0.58,-173.49,61.99
219,40.53,40.53,0.0,22.19,0.42,-89.76,38.77
220,21.25,21.25,0.0,92.18,0.64,-290.2,75.59
221,7.72,7.72,0.0,31.29,0.62,-462.16,95.57
