Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,19.51,19.51,2.6,99.09,0.59,0,7.37
1,24.7,24.7,2.6,24.97,0.54,-152.84,55.14
2,22.6,22.6,2.61,16.16,0.53,0,7.25
3,30.36,30.36,2.61,13.33,0.48,-165.28,61.31
4,7.79,7.79,2.63,4.37,0.5,0,7.31
5,7.73,7.73,2.62,17.84,0.51,0,7.29
6,27.77,27.77,-0.0,77.93,0.61,-9.74,14.48
7,44.72,44.72,3.38,97.95,0.56,0,7.3
8,16.66,16.66,2.63,71.94,0.64,0,7.35
9,27.61,27.61,2.61,56.97,0.81,0,7.33
10,19.1,19.1,2.67,27.53,0.6,0,7.31
11,15.76,15.76,2.61,18.46,0.43,0,7.34
12,9.92,9.92,2.65,70.33,0.68,0,7.29
13,9.63,9.63,2.61,88.35,0.85,0,7.08
14,18.98,18.98,2.61,36.56,0.24,0,7.33
15,16.78,16.78,2.61,56.17,0.42,-51.34,28.62
16,19.92,19.92,2.61,54.83,0.55,-53.44,28.97
17,39.69,39.69,2.61,27.38,0.57,-93.88,39.27
18,23.91,23.91,2.67,71.21,0.5,0,7.3
19,40.48,40.48,2.67,53.75,0.54,-36.96,26.11
20,43.81,43.81,2.67,56.55,0.46,-21.29,17.92
21,43.27,43.27,2.65,95.07,0.54,0,7.35
22,13.91,13.91,2.42,86.84,0.45,0,8.24
23,21.95,21.95,2.65,15.05,0.29,0,7.35
24,32.33,32.33,2.65,38.5,0.62,-116.9,46.69
25,29.17,29.17,2.6,96.68,0.72,0,7.32
26,14.34,14.34,2.61,41.25,0.54,0,7.3
27,18.25,18.25,2.61,26.54,0.41,0,7.34
28,12.64,12.64,2.61,41.85,0.58,0,7.29
29,9.23,9.23,2.66,55.58,0.35,0,7.36
30,24.53,24.53,-0.0,82.26,0.34,-3.76,12.07
31,23.74,23.74,-0.0,42.13,0.25,-85.57,43.2
32,21.58,21.58,2.62,95.38,0.69,0,7.32
33,20.37,20.37,0.0,79.16,0.59,-7.44,13.64
34,12.55,12.55,2.67,17.52,0.3,0,7.27
35,44.46,44.46,9.84,82.58,0.22,0,7.29
36,37.49,37.49,9.84,38.52,0.26,-88.29,38.59
37,18.03,18.03,2.65,29.83,0.19,0,7.24
38,10.08,10.08,2.46,85.38,0.42,0,9.33
39,7.81,7.81,2.65,86.95,0.65,0,7.33
40,34.63,34.63,2.65,56.92,0.48,-46.55,27.82
41,6.39,6.39,2.64,93.03,0.73,0,7.02
42,28.84,28.84,2.64,13.1,0.75,-112.72,46.25
43,38.47,38.47,2.62,84.99,0.54,0,7.36
44,42.06,42.06,2.83,90.61,0.15,0,6.87
45,17.66,17.66,2.66,72.65,0.43,0,7.29
46,23.32,23.32,2.62,99.84,0.74,0,7.32
47,38.2,38.2,2.61,95.98,0.44,0,7.31
48,13.46,13.46,2.62,88.2,0.5,0,6.88
49,14.89,14.89,2.65,2.7,0.54,0,7.31
50,38.0,38.0,2.65,55.31,0.34,-39.67,31.68
51,28.47,28.47,2.65,74.56,0.15,-22.05,18.11
52,12.27,12.27,0.71,84.51,0.45,0,10.0
53,6.52,6.52,2.61,67.15,0.35,0,7.36
54,29.46,29.46,2.61,52.02,0.67,-34.64,30.82
55,11.89,11.89,0.0,78.39,0.55,-8.56,14.06
56,8.34,8.34,2.62,58.85,0.45,0,7.33
57,43.82,43.82,-0.01,69.95,0.5,-8.05,13.87
58,42.63,42.63,-0.01,19.48,0.62,-62.69,35.21
59,6.72,6.72,2.61,19.8,0.55,0,7.27
60,25.27,24.66,2.61,21.11,0.47,-184.81,57.93
61,34.91,34.91,2.63,85.4,0.55,0,7.36
62,30.71,30.71,2.63,39.66,0.59,-112.21,46.19
63,15.62,15.62,0.01,77.64,0.48,-10.2,14.64
64,34.39,33.68,2.99,89.13,0.18,0,7.07
65,27.03,27.03,2.99,47.58,0.58,-63.88,40.51
66,15.6,15.6,2.6,46.58,0.73,0,7.35
67,14.9,14.9,2.65,43.86,0.46,0,7.31
68,18.16,18.16,2.62,99.63,0.56,0,7.32
69,26.75,26.75,0.0,80.09,0.33,-7.49,13.66
70,44.59,44.59,0.0,45.63,0.44,-11.65,20.46
71,23.89,23.89,0.0,21.24,0.48,-91.18,43.86
72,24.12,24.12,2.65,67.03,0.72,0,7.31
73,25.97,25.97,2.65,26.39,0.34,-146.56,54.57
74,6.44,6.44,2.65,60.15,0.8,0,7.36
75,36.65,36.65,2.65,41.47,0.41,-61.4,40.19
76,37.65,37.65,2.65,68.42,0.46,-12.26,20.63
77,8.87,8.87,2.61,7.1,0.41,0,7.35
78,18.99,18.99,2.61,15.84,0.55,0,7.32
79,40.69,39.93,2.63,96.9,0.34,0,7.33
80,8.82,8.82,2.63,24.61,0.57,0,7.29
81,27.23,27.23,2.61,91.34,0.48,0,6.77
82,9.23,9.23,2.66,19.75,0.53,0,7.34
83,14.55,14.55,2.66,7.57,0.59,0,7.22
84,30.65,30.65,2.66,42.68,0.32,-87.67,43.45
85,29.45,29.45,2.66,13.42,0.54,-191.01,63.41
86,38.4,37.66,2.66,26.64,0.31,-97.64,39.72
87,30.19,30.19,2.62,64.95,0.59,0,7.28
88,40.08,40.08,2.62,51.16,0.28,-54.02,29.06
89,13.28,13.28,2.54,84.87,0.37,0,9.69
90,14.32,14.32,2.61,21.83,0.62,0,7.33
91,40.41,40.41,2.63,96.9,0.72,0,7.3
92,31.89,31.89,2.66,1.81,0.49,0,7.3
93,19.86,19.86,2.61,95.63,0.75,0,7.34
94,27.16,27.16,2.61,61.04,0.37,-56.58,29.47
95,14.8,14.8,2.62,66.55,0.58,0,7.31
96,10.04,10.04,2.64,69.31,0.48,0,7.33
97,18.1,17.62,2.64,5.79,0.37,0,7.36
98,44.4,44.4,5.2,7.07,0.4,0,7.23
99,33.66,33.66,5.2,32.05,0.45,-137.87,48.82
100,38.89,38.89,5.2,30.98,0.65,-96.48,39.58
101,27.39,27.39,2.45,85.72,0.44,0,9.12
102,36.77,36.77,2.63,71.7,0.66,0,7.33
103,15.76,15.76,0.01,82.85,0.46,-2.07,11.23
104,31.21,31.21,2.67,98.31,0.72,0,7.36
105,33.29,33.29,2.66,98.24,0.61,0,7.24
106,38.95,38.95,2.66,15.4,0.71,-102.93,45.19
107,25.82,25.82,2.66,41.28,0.49,-96.7,44.49
108,36.5,36.5,2.66,67.62,0.4,-14.92,21.33
109,38.07,38.07,2.66,42.39,0.35,-71.51,36.42
110,11.96,11.96,2.61,3.48,0.25,0,7.34
111,19.95,19.95,2.67,7.27,0.38,0,7.36
112,6.08,5.82,2.63,27.92,0.47,0,7.31
113,15.33,15.33,-0.0,15.54,0.37,-6.64,13.32
114,17.83,17.83,0.01,81.04,0.59,-4.7,12.5
115,33.21,33.21,0.01,46.01,0.62,-73.12,41.69
116,32.47,32.47,0.01,67.84,0.4,-14.33,21.18
117,25.18,25.18,-0.0,82.43,0.4,-3.74,12.07
118,11.91,11.91,2.64,10.01,0.78,0,7.36
119,29.43,29.43,2.66,95.59,0.55,0,7.33
120,28.31,28.31,2.66,20.3,0.38,-97.82,44.62
121,21.98,21.98,2.66,92.05,0.48,0,6.8
122,32.95,32.95,2.62,85.69,0.66,0,7.35
123,7.82,7.82,2.63,59.07,0.62,0,7.31
124,44.09,43.32,2.63,23.11,0.49,-58.37,29.75
125,25.2,25.2,2.63,32.49,0.64,-110.36,51.07
126,26.79,26.79,2.63,45.36,0.55,-58.23,34.56
127,9.33,9.06,2.63,54.59,0.43,0,7.34
