Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
133,43.769,43.769,36.083,-606.769,0.016
134,29.951,29.951,19.013,-1076.053,-0.175
135,42.361,42.361,34.033,-1136.134,-0.3
136,39.05,39.05,29.874,-1119.497,-0.152
137,14.819,14.819,29.874,-142.554,54.201
138,10.579,10.579,29.874,-299.88,76.227
139,17.057,17.057,29.874,-110.938,46.058
140,10.61,10.61,29.874,-326.726,77.945
141,37.148,37.148,28.654,-581.735,0.082
142,34.53,34.53,24.354,-1097.417,-0.322
143,19.078,19.078,24.354,-59.737,29.959
144,15.335,15.335,24.354,-144.011,49.425
145,9.741,9.741,24.354,-326.921,77.957
146,44.904,44.904,36.949,-1147.794,-0.197
147,19.157,19.157,36.949,-56.888,29.516
148,17.899,17.899,36.949,-78.02,37.284
149,40.088,39.337,32.472,-575.062,0.1
150,19.342,19.342,32.472,-41.232,26.889
151,11.633,11.633,32.472,-214.663,70.344
152,21.578,21.578,-0.002,-0.976,10.613
153,18.753,18.753,-0.002,-31.533,25.057
154,28.156,28.156,18.085,-592.162,0.054
155,37.145,37.145,28.672,-526.821,0.236
156,13.64,13.64,28.672,-198.978,59.109
157,16.215,16.215,28.672,-105.262,50.549
158,20.155,20.155,28.672,-29.394,24.624
159,23.515,23.515,7.837,-1031.349,-0.073
160,16.762,16.762,7.837,-82.147,42.797
161,43.966,43.966,35.504,-1142.016,-0.152
162,44.244,43.466,35.914,-565.035,0.127
163,13.489,13.489,35.914,-158.496,60.732
164,18.72,18.223,35.914,-30.87,30.158
165,33.724,33.724,24.707,-575.93,0.097
166,38.404,38.404,30.084,-578.53,0.09
167,19.113,19.113,30.084,-38.288,26.353
168,22.167,22.167,-0.001,-1.415,10.868
169,31.314,31.314,20.349,-1081.395,-0.123
170,42.659,42.659,33.952,-1135.81,-0.442
171,14.004,14.004,33.952,-177.975,62.36
172,22.351,22.351,0.003,-1.403,10.861
173,29.157,29.157,18.522,-1074.089,-0.217
174,9.244,9.244,18.522,-296.679,81.065
175,29.035,29.035,17.76,-1071.04,-0.074
176,25.085,25.085,11.502,-1046.008,-0.046
177,31.523,31.523,20.491,-1081.962,-0.046
178,5.359,5.359,20.491,-406.257,92.586
179,12.956,12.956,20.491,-197.986,63.967
180,17.336,17.336,20.491,-82.609,42.852
181,21.567,21.013,3.18,0,8.417
182,7.741,7.741,3.18,-385.503,86.409
