Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,16.06,16.06,7.61,15.0,0.35,-1030.44,-0.07
1,10.45,10.45,7.62,91.35,0.59,-1030.48,-0.04
2,28.81,28.81,7.6,47.66,0.47,-1030.4,-0.09
3,44.9,44.9,6.79,99.07,0.53,-1027.17,-11.38
4,43.89,43.89,-0.01,72.95,0.67,-7.57,13.69
5,32.12,32.12,-0.01,26.32,0.37,-139.44,53.91
6,10.62,10.33,7.63,70.14,0.29,-1030.52,-0.06
7,13.14,12.77,7.6,34.67,0.29,-1030.4,-0.07
8,5.17,5.17,3.62,93.62,0.45,-1014.49,-0.06
9,44.08,44.08,3.62,45.34,0.59,-19.59,22.48
10,13.9,13.9,7.61,76.73,0.49,-1030.45,-0.03
11,16.61,16.61,7.61,85.24,0.37,-1030.42,-0.04
12,38.64,38.64,6.88,40.28,0.33,-1027.54,-0.14
13,18.38,18.38,7.61,69.65,0.74,-1030.45,-0.06
14,8.04,8.04,6.27,73.03,0.47,-1025.07,-0.07
15,25.97,25.97,7.6,56.23,0.61,-1030.39,-0.11
16,34.07,34.07,7.6,39.62,0.52,-108.0,45.74
17,30.19,30.19,7.6,36.86,0.34,-124.05,52.44
18,26.32,26.32,7.63,32.1,0.53,-1030.52,-0.08
19,15.6,15.6,7.62,54.37,0.53,-1030.48,-0.01
20,9.78,9.78,7.59,61.09,0.34,-1030.38,-0.07
21,25.76,25.76,7.61,72.65,0.35,-1030.45,-0.07
22,12.23,12.23,7.62,58.58,0.46,-612.61,0.0
23,7.24,6.99,5.47,93.07,0.25,-1021.87,-0.01
24,44.97,44.97,5.47,27.07,0.48,-44.61,27.49
25,28.73,28.73,7.61,57.68,0.55,-1030.43,-0.07
26,25.91,25.91,7.61,18.0,0.44,-232.81,66.63
27,18.15,18.15,7.62,68.53,0.48,-1030.47,-0.03
28,23.13,23.13,7.59,98.16,0.48,-1030.38,-0.14
29,33.62,33.62,7.6,94.6,0.49,-1030.39,-0.13
30,35.42,34.7,7.6,20.73,0.51,-135.9,48.63
31,29.97,29.97,7.6,27.56,0.66,-184.61,57.92
32,36.07,36.07,7.6,34.41,0.52,-80.3,42.57
33,17.22,17.22,7.61,8.41,0.84,-1030.44,-0.06
34,29.68,29.68,7.63,97.06,0.32,-1030.51,-0.09
35,40.48,40.48,7.63,9.19,0.33,-83.72,42.98
36,6.49,6.49,4.84,37.72,0.32,-1019.36,-0.05
37,26.54,26.54,7.63,35.92,0.35,-1030.51,-0.09
38,31.65,31.65,7.63,12.89,0.79,-157.32,60.63
39,12.61,12.61,7.6,80.81,0.64,-1030.41,-0.05
40,30.95,30.95,7.6,22.37,0.51,-184.22,57.88
41,16.45,16.45,7.62,26.76,0.28,-1030.48,-0.02
42,41.3,41.3,7.62,66.87,0.85,-13.44,20.95
43,41.3,41.3,7.62,29.91,0.39,-41.21,31.94
44,6.73,6.73,5.05,55.24,0.16,-1020.2,-0.09
45,35.42,35.42,7.61,54.08,0.82,-1030.43,-0.13
46,28.36,28.36,7.61,21.55,0.63,-183.7,62.83
47,14.69,14.69,7.63,63.71,0.44,-1030.5,-0.09
48,7.67,7.67,5.9,48.02,0.5,-1023.61,-0.13
49,40.0,40.0,5.9,67.5,0.35,-22.51,23.15
50,24.02,24.02,7.63,94.41,0.63,-1030.5,-0.09
51,14.03,14.03,7.63,41.02,0.77,-1030.52,-0.07
52,35.16,35.16,7.6,93.27,0.45,-1030.4,-0.12
53,6.38,6.38,4.74,20.45,0.39,-1018.95,-0.05
54,22.67,22.1,7.63,71.59,0.56,-1030.53,-0.06
55,33.99,33.99,7.63,76.84,0.34,-1030.52,-0.11
56,18.4,17.91,7.61,79.13,0.61,-1030.43,-0.06
57,20.39,20.39,7.6,23.09,0.5,-1030.41,-0.09
58,8.16,8.16,6.39,32.42,0.45,-1025.56,-0.02
59,26.88,26.88,7.61,33.83,0.37,-1030.44,-0.07
60,35.84,35.84,7.61,19.42,0.37,-137.48,48.79
61,13.61,13.61,7.6,5.28,0.61,-1030.4,-0.11
62,21.97,21.97,7.62,46.39,0.41,-1030.46,-0.04
63,11.82,11.82,7.63,48.59,0.62,-1030.52,-0.06
64,26.09,26.09,7.61,51.48,0.55,-1030.43,-0.07
65,43.08,43.08,7.61,34.35,0.56,-48.25,28.11
66,28.8,28.8,7.61,14.48,0.63,-207.12,64.68
67,12.28,12.28,7.6,39.05,0.63,-1030.41,-0.07
68,7.07,7.07,5.46,38.19,0.64,-1021.82,-0.04
69,13.77,13.77,7.6,4.73,0.37,-1030.4,-0.08
70,43.42,43.42,7.6,49.42,0.39,-14.77,21.29
71,24.11,24.11,7.59,44.02,0.42,-1030.37,-0.13
72,20.76,20.76,7.6,78.79,0.82,-1030.4,-0.11
73,41.46,41.46,7.6,83.79,0.58,-1030.41,-0.15
74,40.49,40.49,7.6,18.61,0.35,-98.0,39.76
75,22.2,22.2,7.6,57.23,0.53,-1030.4,-0.08
76,22.66,22.66,7.6,3.03,0.48,-327.22,77.98
77,10.41,10.41,7.61,81.41,0.48,-1030.43,-0.05
78,33.88,33.88,7.59,59.57,0.24,-1030.37,-0.05
79,6.8,6.57,5.19,27.47,0.74,-1020.76,-0.07
80,32.28,32.28,7.6,71.13,0.71,-1030.39,-0.1
81,8.23,8.23,6.45,19.58,0.63,-1025.81,-0.04
82,25.29,25.29,7.59,69.53,0.26,-1030.35,-0.06
83,8.17,8.17,6.4,45.34,0.49,-1025.58,-0.09
84,43.85,43.85,7.42,88.15,0.47,-1029.68,-2.73
85,15.63,15.63,7.61,92.05,0.62,-1030.46,-0.06
86,39.13,39.13,7.61,32.48,0.63,-87.27,38.46
87,27.49,27.49,7.6,52.83,0.28,-1030.42,-0.07
88,21.6,21.6,7.63,61.56,0.69,-1030.51,-0.08
89,25.3,25.3,7.63,1.07,0.48,-304.37,76.52
90,31.51,30.83,7.63,64.93,0.35,-1030.53,-0.08
91,19.01,19.01,7.61,37.32,0.6,-1030.42,-0.05
92,26.38,26.38,7.62,31.31,0.74,-1030.49,-0.03
93,8.16,8.16,6.44,60.39,0.28,-1025.74,-0.11
94,44.84,44.84,6.44,37.76,0.65,-21.85,23.0
95,43.97,43.97,6.44,37.87,0.38,-32.5,25.25
96,16.03,16.03,7.62,35.64,0.44,-1030.46,-0.05
97,40.74,40.74,7.62,59.06,0.4,-28.08,24.35
98,23.03,22.45,7.58,78.53,0.61,-1030.33,-0.04
99,37.47,37.47,7.58,14.64,0.51,-130.23,48.06
100,40.41,40.41,7.63,1.26,0.54,-1030.54,-10.81
101,16.58,16.58,7.61,7.02,0.3,-1030.43,-0.04
102,41.79,41.79,7.61,47.3,0.52,-39.51,26.58
103,24.25,24.25,7.63,52.58,0.68,-1030.54,-0.05
104,26.29,26.29,7.63,64.12,0.2,-1030.52,-0.08
105,19.05,19.05,7.61,78.16,0.48,-1030.45,-0.06
106,20.57,20.57,7.61,73.08,0.42,-1030.43,-0.04
107,17.88,17.88,7.63,28.32,0.67,-1030.5,-0.09
108,24.28,24.28,7.63,26.98,0.57,-1030.53,-0.07
109,34.07,34.07,7.63,21.97,0.62,-118.87,51.93
110,18.13,18.13,7.62,20.11,0.32,-1030.47,-0.03
111,36.58,35.86,7.59,79.49,0.42,-1030.36,-0.12
112,10.07,9.79,7.61,82.4,0.65,-1030.45,-0.04
113,14.74,14.74,7.62,70.95,0.49,-1030.46,-0.04
114,30.03,30.03,7.62,7.1,0.58,-212.16,65.07
115,11.21,11.21,7.6,32.37,0.07,-1030.4,-0.08
116,30.59,30.59,7.63,57.88,0.47,-1030.53,-0.08
117,29.99,29.99,7.6,69.74,0.4,-1030.39,-0.12
118,6.54,6.54,4.89,47.22,0.5,-1019.55,-0.07
119,9.76,9.76,7.64,60.69,0.55,-1030.58,-0.06
120,40.06,40.06,7.64,45.19,0.53,-38.61,31.5
121,42.76,42.76,6.76,26.84,0.72,-1027.04,-9.32
122,18.49,18.49,7.61,76.4,0.52,-1030.45,-0.07
123,19.1,18.6,7.61,12.14,0.56,-1030.42,-0.06
124,30.65,30.65,7.63,49.45,0.73,-1030.51,-0.09
125,11.29,11.29,7.6,65.6,0.32,-1030.39,-0.1
126,5.3,5.3,3.74,94.24,0.53,-1014.96,-0.08
127,22.42,22.42,7.6,23.43,0.56,-1030.39,-0.1
128,7.59,7.59,5.95,8.87,0.4,-1023.81,-0.08
129,12.64,12.3,7.59,8.87,0.78,-1030.38,-0.12
130,31.74,31.74,7.59,9.9,0.4,-152.63,60.23
131,18.11,18.11,7.62,66.36,0.72,-1030.47,-0.02
132,41.91,41.91,7.62,29.35,0.46,-49.14,33.2
133,34.55,34.56,7.59,1.18,0.52,-1030.38,-0.18
134,30.71,30.71,7.59,31.12,0.45,-149.38,54.83
135,18.43,18.43,7.61,18.42,0.7,-1030.44,-0.07
136,28.76,28.76,7.61,72.17,0.42,-1030.42,-0.06
137,29.76,29.76,7.62,83.86,0.51,-1030.47,-0.03
138,13.66,13.66,7.63,75.08,0.71,-1030.53,-0.07
139,34.52,34.52,7.63,7.19,0.23,-163.76,56.12
140,32.44,32.44,7.63,5.74,0.73,-180.51,62.57
141,31.79,31.79,7.61,50.25,0.4,-1030.43,-0.07
142,7.66,7.66,5.89,24.03,0.89,-1023.57,-0.09
143,21.69,21.69,7.62,61.81,0.32,-1030.49,-0.01
144,41.07,41.07,7.64,94.92,0.79,-1030.56,-0.09
145,7.09,7.09,5.47,97.12,0.54,-1021.87,-0.01
146,7.08,7.08,5.47,67.72,0.63,-1021.86,-0.04
147,16.16,16.16,7.6,74.87,0.33,-1030.4,-0.09
148,26.82,26.82,7.61,80.74,0.36,-1030.42,-0.12
149,6.51,6.51,4.85,41.61,0.48,-1019.42,-0.08
150,6.44,6.44,4.79,16.53,0.78,-1019.16,-0.1
151,9.0,9.0,7.27,39.09,0.43,-1029.09,-0.05
152,34.23,33.53,7.62,94.72,0.06,-1030.46,-0.1
153,5.08,5.08,3.53,84.27,0.75,-1014.13,-0.05
154,14.73,14.73,7.62,86.45,0.23,-1030.47,-0.02
155,42.92,42.92,7.62,14.12,0.53,-60.43,34.88
156,42.82,42.82,7.3,94.29,0.63,-1029.19,-0.15
157,23.11,23.11,7.6,46.64,0.76,-1030.38,-0.12
158,20.66,20.66,7.6,67.77,0.63,-1030.4,-0.1
159,9.62,9.35,7.62,59.46,0.52,-1030.47,-0.05
160,44.21,44.21,7.62,15.37,0.3,-36.97,31.23
161,41.25,41.25,7.62,54.37,0.36,-29.63,24.67
