Episode,Kick_Speed,friction,Rewards,Stop_Distance
167,28.63,0.9,-346.35,79.17
168,17.15,0.9,-425.86,93.65
169,26.98,0.9,-329.07,83.07
170,37.47,0.9,-215.4,65.32
171,45.49,0.9,-134.49,48.49
172,40.56,0.9,-145.73,54.49
173,42.36,0.9,-171.33,56.78
174,32.14,0.9,-258.71,73.47
175,48.05,0.9,-83.83,38.03
176,42.06,0.9,-159.39,55.73
177,45.72,0.9,-85.02,43.14
178,32.68,0.9,-235.54,71.85
179,33.16,0.9,-233.99,71.74
180,43.52,0.9,-131.49,53.16
181,42.35,0.9,-139.97,53.96
182,29.94,0.9,-273.83,74.5
183,44.61,0.9,-136.27,48.67
184,34.89,0.9,-232.08,66.57
185,15.0,0.9,-451.2,95.0
186,26.12,0.9,-289.84,80.63
187,25.85,0.9,-300.09,81.28
188,43.15,0.9,-123.08,52.34
189,48.3,0.9,-80.79,42.63
190,28.7,0.9,-327.84,78.02
191,39.18,0.9,-155.21,55.36
192,35.38,0.9,-212.71,70.2
193,44.21,0.9,-108.98,50.93
194,23.5,0.9,-402.74,87.39
195,45.57,0.9,-148.43,49.85
196,20.71,0.9,-361.04,90.06
197,31.66,0.9,-241.58,72.28
198,26.95,0.9,-350.0,79.39
199,40.55,0.9,-157.51,55.57
200,43.36,0.9,-124.67,52.5
201,37.6,0.9,-220.6,65.71
202,51.6,0.9,-42.73,32.18
203,32.95,0.9,-261.34,73.65
204,43.79,0.9,-145.42,49.56
205,51.1,0.9,-34.47,30.79
206,43.89,0.9,-112.83,51.32
207,42.02,0.9,-138.08,53.78
208,48.06,0.9,-96.47,39.58
209,36.1,0.9,-246.59,67.64
210,57.04,0.9,-23.16,18.39
211,22.61,0.9,-408.53,87.72
212,26.37,0.9,-294.97,80.96
213,57.14,0.9,-25.39,18.94
214,28.96,0.9,-344.26,79.04
215,43.2,0.9,-111.39,51.18
216,41.1,0.9,-171.67,61.84
217,36.05,0.9,-222.75,65.88
218,28.55,0.9,-323.76,77.76
219,54.01,0.9,-14.57,21.24
220,29.78,0.9,-358.41,79.9
221,44.2,0.9,-141.02,49.13
222,36.84,0.9,-196.76,63.87
223,51.59,0.9,-29.22,24.59
224,42.71,0.9,-131.96,53.2
225,32.62,0.9,-294.57,75.88
226,32.19,0.9,-234.47,71.78
227,68.82,0.9,-1054.33,-10.09
228,26.91,0.9,-355.23,79.71
229,38.1,0.9,-186.73,58.1
230,36.51,0.9,-160.72,60.92
231,52.57,0.9,-41.96,32.06
232,34.23,0.9,-249.39,67.84
233,39.67,0.9,-192.77,58.6
234,45.62,0.9,-124.58,47.49
235,25.42,0.9,-345.05,84.04
236,42.73,0.9,-138.0,53.77
237,22.9,0.9,-362.93,85.1
238,52.85,0.9,-31.13,24.98
239,29.37,0.9,-323.1,77.72
240,38.7,0.9,-151.02,60.09
241,44.72,0.9,-93.94,44.18
242,38.64,0.9,-157.83,60.68
243,28.29,0.9,-333.98,78.4
244,27.89,0.9,-359.98,80.0
245,48.98,0.9,-56.74,34.35
246,29.75,0.9,-317.84,77.38
247,37.0,0.9,-199.1,64.06
248,29.42,0.9,-299.44,76.2
249,39.03,0.9,-161.82,61.01
250,25.92,0.9,-366.11,85.29
251,27.12,0.9,-288.66,80.56
252,41.55,0.9,-150.77,54.96
253,58.64,0.9,0,6.43
254,34.56,0.9,-244.74,67.5
255,25.47,0.9,-310.97,81.96
256,18.92,0.9,-379.74,91.12
257,35.17,0.9,-201.02,64.21
258,46.27,0.9,-109.26,45.88
259,27.37,0.9,-290.99,80.7
260,19.88,0.9,-447.87,89.89
261,41.98,0.9,-143.46,54.28
262,45.41,0.9,-107.12,45.65
263,45.53,0.9,-101.87,50.2
264,41.56,0.9,-117.68,51.81
265,81.44,0.9,-1095.6,-10.62
266,35.87,0.9,-212.55,65.1
267,53.21,0.9,-9.51,14.4
268,33.67,0.9,-223.47,70.99
269,55.94,0.9,-20.96,17.84
270,33.02,0.9,-247.67,72.71
271,54.27,0.9,-46.22,27.76
272,18.95,0.9,-435.69,89.22
273,54.74,0.9,-22.51,18.23
274,27.56,0.9,-297.2,81.1
275,53.19,0.9,-41.74,26.98
276,50.78,0.9,-37.08,31.25
277,29.47,0.9,-287.27,75.4
278,48.11,0.9,-46.16,32.73
279,59.58,0.9,-134.13,2.37
280,51.0,0.9,-35.36,30.95
281,35.6,0.9,-229.76,66.4
282,34.77,0.9,-262.16,68.75
283,43.51,0.9,-109.25,45.88
284,35.63,0.9,-211.36,65.01
285,39.7,0.9,-171.66,56.81
286,38.67,0.9,-183.76,57.85
287,41.15,0.9,-155.44,55.38
288,18.2,0.9,-394.36,91.93
289,39.23,0.9,-159.14,55.71
290,48.77,0.9,-83.79,38.02
291,35.79,0.9,-234.47,66.75
292,42.35,0.9,-119.26,51.97
293,42.42,0.9,-126.55,52.68
294,46.36,0.9,-96.38,39.57
295,37.78,0.9,-152.73,60.24
296,21.39,0.9,-433.09,89.08
297,43.53,0.9,-132.57,48.3
298,57.29,0.9,-24.36,18.69
299,54.06,0.9,-25.67,19.0
300,41.18,0.9,-105.07,50.53
301,50.43,0.9,-48.35,33.08
302,47.29,0.9,-92.23,39.07
303,37.4,0.9,-175.74,62.18
304,29.28,0.9,-320.27,77.54
305,29.83,0.9,-285.09,75.26
306,29.32,0.9,-303.15,76.44
307,28.89,0.9,-335.11,78.47
308,36.25,0.9,-183.06,62.77
309,41.0,0.9,-115.93,51.63
310,25.88,0.9,-289.24,80.59
311,38.94,0.9,-157.6,60.66
312,45.24,0.9,-68.84,41.15
313,34.85,0.9,-182.03,62.69
314,33.3,0.9,-265.2,68.97
315,38.4,0.9,-195.69,58.84
316,13.88,0.9,-486.0,96.8
317,45.48,0.9,-93.79,44.16
318,54.53,0.9,-10.16,20.04
319,54.1,0.9,-41.26,26.89
320,43.99,0.9,-133.03,48.34
321,41.19,0.9,-141.05,54.06
322,41.67,0.9,-135.95,53.58
323,68.46,0.9,-1055.98,-10.32
324,38.24,0.9,-205.59,59.65
325,46.88,0.9,-93.56,39.23
326,38.9,0.9,-153.12,60.27
327,40.49,0.9,-142.55,54.2
328,30.86,0.9,-285.31,75.27
329,38.72,0.9,-209.76,59.98
330,39.12,0.9,-131.51,53.16
331,41.49,0.9,-172.62,56.89
332,37.02,0.9,-198.08,63.97
333,28.95,0.9,-278.63,74.82
334,31.37,0.9,-250.86,72.93
335,39.53,0.9,-160.89,60.94
336,52.57,0.9,-20.02,22.58
337,43.03,0.9,-110.29,51.07
338,34.59,0.9,-218.82,65.58
339,45.95,0.9,-89.29,38.71
340,45.61,0.9,-130.97,48.14
341,27.54,0.9,-312.64,77.05
342,47.75,0.9,-64.18,35.42
343,13.76,0.9,-456.79,95.29
344,21.95,0.9,-412.47,87.94
345,52.36,0.9,-23.45,23.36
346,40.67,0.9,-165.02,56.23
347,51.84,0.9,-55.67,29.32
348,23.37,0.9,-361.49,85.01
349,37.18,0.9,-189.98,63.33
350,24.05,0.9,-362.11,85.05
351,47.68,0.9,-63.26,40.43
352,41.73,0.9,-137.4,53.72
353,37.13,0.9,-191.29,58.48
354,43.86,0.9,-110.38,51.07
355,22.38,0.9,-412.09,87.92
356,38.84,0.9,-192.08,58.54
357,33.22,0.9,-216.73,65.42
358,46.48,0.9,-115.1,46.5
359,44.77,0.9,-87.5,43.43
360,44.49,0.9,-111.89,46.16
361,53.75,0.9,-10.92,14.89
362,36.84,0.9,-191.96,63.49
363,37.23,0.9,-206.48,64.63
364,33.13,0.9,-275.19,69.67
365,46.54,0.9,-63.27,40.43
366,29.3,0.9,-275.37,74.61
367,48.05,0.9,-73.46,41.73
368,39.0,0.9,-154.49,60.39
369,38.05,0.9,-151.71,60.15
370,44.9,0.9,-105.91,45.51
371,47.55,0.9,-69.82,36.19
372,39.29,0.9,-164.08,56.15
373,39.49,0.9,-137.8,53.76
374,39.31,0.9,-197.1,58.95
375,16.97,0.9,-400.01,92.24
376,38.55,0.9,-169.29,61.64
377,32.18,0.9,-224.41,71.05
378,26.08,0.9,-352.35,84.47
379,24.12,0.9,-336.47,83.52
380,30.18,0.9,-301.97,76.36
381,36.12,0.9,-200.32,59.22
382,43.25,0.9,-119.83,47.0
383,51.61,0.9,-56.32,29.43
384,26.5,0.9,-295.56,80.99
385,28.84,0.9,-319.2,77.47
386,23.96,0.9,-336.13,83.5
387,21.64,0.9,-407.68,87.67
388,42.22,0.9,-141.57,49.19
389,31.93,0.9,-243.71,72.43
390,27.86,0.9,-286.47,80.42
391,49.81,0.9,-40.34,31.79
392,28.42,0.9,-283.72,75.16
393,47.67,0.9,-94.08,44.19
394,38.09,0.9,-176.61,57.24
395,36.45,0.9,-193.52,63.61
396,46.44,0.9,-82.81,37.9
397,44.09,0.9,-102.7,45.16
398,17.56,0.9,-380.01,91.13
399,43.42,0.9,-144.66,49.49
400,39.59,0.9,-208.26,59.86
401,50.38,0.9,-57.89,34.52
402,21.62,0.9,-434.32,89.15
403,43.04,0.9,-102.76,50.29
404,32.59,0.9,-263.2,68.83
405,19.79,0.9,-436.24,89.25
406,21.81,0.9,-400.8,87.28
407,31.28,0.9,-253.99,73.15
408,21.99,0.9,-416.36,88.15
409,49.03,0.9,-39.06,31.58
410,42.41,0.9,-122.72,52.31
411,28.29,0.9,-283.84,80.25
412,38.04,0.9,-203.73,59.5
413,19.86,0.9,-421.36,88.43
414,32.11,0.9,-219.38,70.69
