Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
101,54.27,0.45,0.7,43.06,24.73,-1038.42,-8.91
102,30.48,0.87,0.7,61.96,16.92,-225.4,71.13
103,40.54,0.38,0.7,53.3,18.33,-46.09,27.74
104,39.86,0.61,0.7,40.21,11.25,-65.73,40.75
105,37.17,0.83,0.7,44.63,20.17,-183.6,57.83
106,44.56,0.64,0.7,55.3,18.05,-64.0,35.39
107,44.12,0.58,0.7,49.85,16.06,-44.77,32.51
108,31.66,0.88,0.7,34.61,16.74,-264.84,68.94
109,42.72,0.73,0.7,56.65,19.01,-75.99,42.05
110,42.58,0.87,0.7,51.1,25.59,-149.92,49.99
111,43.59,0.8,0.7,36.71,18.75,-69.76,41.27
112,30.79,0.71,0.7,35.51,23.3,-274.99,69.65
113,36.48,0.96,0.7,66.3,25.98,-244.26,67.47
114,53.32,0.76,0.7,39.93,17.15,-28.57,19.68
115,65.19,0.53,0.7,55.17,30.71,-1077.33,-10.04
116,60.41,0.76,0.7,34.33,10.92,-1041.21,-10.05
117,18.07,0.67,0.7,54.13,19.99,-412.69,87.95
118,38.8,0.86,0.7,39.76,26.08,-193.19,58.63
119,40.38,0.75,0.7,46.68,19.82,-110.12,51.05
120,32.86,0.77,0.7,69.65,10.74,-189.28,63.28
121,37.4,0.55,0.7,41.19,22.11,-131.36,53.14
122,63.87,0.73,0.7,32.23,26.31,-1060.15,-10.17
123,27.47,0.85,0.7,38.22,21.38,-311.21,76.96
124,37.09,0.59,0.7,49.01,14.88,-144.32,54.36
125,34.58,0.68,0.7,60.27,15.04,-200.11,59.2
126,51.48,0.85,0.7,45.51,11.75,-11.05,14.93
127,39.0,0.91,0.7,50.83,9.3,-105.31,50.55
128,43.69,0.55,0.7,52.61,15.91,-39.03,26.49
129,38.23,0.59,0.7,33.59,13.69,-144.74,49.5
130,25.76,0.49,0.7,41.01,24.47,-280.6,80.04
131,26.93,0.83,0.7,51.5,13.67,-280.8,74.97
132,21.2,0.7,0.7,61.48,32.89,-365.98,85.28
133,28.53,0.65,0.7,53.19,17.4,-243.07,72.39
134,42.35,0.63,0.7,64.58,19.8,-69.19,41.2
135,31.29,0.46,0.7,48.77,12.45,-244.14,67.46
136,23.99,0.58,0.7,50.83,22.27,-327.25,77.98
137,53.56,0.49,0.7,52.18,13.18,-94.31,2.92
138,25.7,0.74,0.7,64.82,17.25,-354.7,79.68
139,36.84,0.67,0.7,45.42,11.25,-166.39,56.35
140,35.05,0.8,0.7,49.16,20.68,-172.5,61.91
141,19.9,0.54,0.7,51.87,13.78,-396.14,87.02
142,38.18,0.69,0.7,49.28,13.83,-113.08,51.35
143,26.16,0.71,0.7,50.98,18.19,-308.47,76.78
144,52.6,0.71,0.7,50.86,27.93,-3.63,12.01
145,63.5,0.71,0.7,47.22,22.89,-1061.63,-10.47
146,45.54,0.88,0.7,48.01,25.47,-86.0,38.3
147,19.89,0.82,0.7,71.12,21.42,-418.42,88.27
148,19.41,0.31,0.7,63.26,25.18,-339.57,83.71
149,54.5,0.75,0.7,54.98,19.75,-76.61,3.24
150,37.06,0.67,0.7,51.26,24.66,-156.53,55.48
151,22.82,0.84,0.7,47.28,16.7,-317.08,82.34
152,53.68,0.82,0.7,60.76,21.25,-16.81,16.71
153,35.92,0.59,0.7,45.9,19.24,-152.44,55.11
154,29.5,0.71,0.7,66.46,23.11,-263.23,68.83
155,64.18,0.75,0.7,67.2,16.52,-1057.66,-10.36
156,64.47,0.51,0.7,57.11,17.46,-1069.4,-10.65
157,34.9,0.55,0.7,28.59,20.42,-164.36,61.23
158,46.38,0.74,0.7,51.23,25.01,-37.14,31.26
159,32.78,0.72,0.7,60.62,14.07,-249.38,67.84
160,40.33,0.53,0.7,57.78,28.54,-67.02,35.81
161,35.24,0.35,0.7,46.64,14.68,-175.05,57.1
162,51.07,0.83,0.7,44.49,20.24,-13.97,21.08
163,43.51,0.82,0.7,53.42,20.09,-109.86,45.94
164,47.79,0.74,0.7,41.47,23.37,-32.64,25.28
165,47.75,0.66,0.7,46.29,16.32,-54.93,29.21
166,30.29,0.89,0.7,63.16,19.96,-258.51,73.46
167,33.0,0.8,0.7,43.57,14.26,-184.4,62.88
168,39.51,0.99,0.7,43.27,19.23,-142.88,54.23
169,34.46,0.53,0.7,39.31,15.95,-195.71,58.84
170,53.38,0.8,0.7,53.72,22.5,-10.95,14.9
171,38.12,0.74,0.7,51.32,16.86,-124.24,52.46
172,10.67,0.68,0.7,44.24,19.93,-477.52,96.37
173,28.28,1.01,0.7,42.66,23.27,-269.94,74.24
174,47.99,0.64,0.7,52.41,20.43,-21.27,22.87
175,35.16,0.67,0.7,70.68,21.88,-153.35,60.29
176,31.05,0.83,0.7,66.02,17.21,-274.82,69.64
177,53.31,0.8,0.7,79.7,16.6,-1025.95,-2.44
178,53.23,0.78,0.7,79.49,20.2,-1.32,10.82
179,38.44,0.6,0.7,40.32,20.12,-148.4,54.74
180,45.32,0.7,0.7,26.23,17.74,-71.58,36.43
181,45.84,1.0,0.7,54.17,20.36,-95.85,44.39
182,31.32,0.65,0.7,41.18,14.21,-253.94,68.17
183,38.41,0.92,0.7,71.77,19.01,-157.54,60.65
184,33.96,0.79,0.7,40.74,26.02,-210.36,64.93
185,34.34,0.75,0.7,50.61,15.62,-157.59,60.65
186,58.38,0.54,0.7,53.95,18.4,-1046.58,-10.29
187,30.78,0.58,0.7,42.29,19.91,-234.39,66.74
188,42.58,0.81,0.7,53.49,23.13,-109.06,45.86
189,36.09,0.68,0.7,68.13,24.45,-190.69,58.43
190,52.72,0.52,0.7,41.27,17.15,-1023.5,-0.51
191,39.49,0.82,0.7,64.36,31.0,-179.42,57.48
192,14.53,0.48,0.7,50.45,27.19,-446.79,89.83
193,27.56,0.6,0.7,60.06,20.91,-229.74,71.44
194,42.41,0.46,0.7,32.77,17.3,-67.56,35.88
195,40.29,0.87,0.7,60.92,15.52,-153.13,55.17
196,42.2,0.74,0.7,49.77,24.88,-73.17,41.7
