Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,38.45,0.45,0.7,59.57,19.51,-84.41,38.1
1,61.51,0.73,0.7,68.77,23.24,-1050.77,-10.21
2,40.9,0.67,0.7,30.86,17.83,-131.65,48.21
3,42.03,0.91,0.7,47.66,13.29,-110.21,51.06
4,40.76,0.61,0.7,55.6,27.21,-73.52,41.74
5,55.05,1.23,0.7,65.78,27.09,-94.75,39.38
6,28.81,0.8,0.7,46.43,16.99,-276.6,74.69
7,49.95,0.67,0.7,55.28,20.8,-16.43,21.71
8,49.14,0.67,0.7,61.58,15.72,-44.53,27.47
9,44.83,0.68,0.7,43.49,17.79,-38.55,31.49
10,38.33,0.53,0.7,38.37,21.66,-175.68,57.16
11,30.97,1.0,0.7,59.01,20.92,-253.32,73.1
12,32.04,0.62,0.7,62.65,23.17,-277.72,69.84
13,43.84,0.43,0.7,57.87,6.98,-57.11,34.4
14,53.13,0.77,0.7,48.24,15.77,-24.66,18.76
15,28.82,0.68,0.7,43.65,23.98,-278.27,74.8
16,48.37,0.75,0.7,47.91,18.25,-12.83,20.78
17,35.99,0.81,0.7,46.19,18.13,-166.44,61.4
18,36.6,0.7,0.7,63.01,15.68,-192.55,58.58
19,43.26,0.6,0.7,63.89,26.78,-42.77,32.19
20,40.06,0.86,0.7,26.28,12.79,-137.17,53.7
21,16.3,0.74,0.7,62.15,20.13,-384.89,91.41
22,54.53,0.82,0.7,54.06,14.34,0,9.45
23,41.61,1.14,0.7,55.29,22.93,-208.19,59.86
24,26.3,0.72,0.7,55.31,13.75,-323.91,77.77
25,37.36,0.65,0.7,33.75,14.4,-172.87,56.92
26,16.37,0.48,0.7,51.59,11.55,-360.84,90.05
27,49.11,0.72,0.7,59.23,27.48,-42.39,27.1
28,42.14,0.61,0.7,50.52,15.89,-80.17,37.56
29,34.33,0.99,0.7,25.97,22.09,-193.47,63.61
30,33.9,0.8,0.7,46.89,27.38,-231.58,66.54
31,36.5,0.72,0.7,51.62,13.34,-167.37,56.44
32,40.24,0.64,0.7,44.27,20.81,-106.08,45.53
33,20.16,0.94,0.7,55.78,24.33,-379.89,86.09
34,24.58,0.9,0.7,65.25,20.18,-306.59,81.69
35,32.75,0.46,0.7,38.2,9.19,-267.61,69.14
36,21.64,0.65,0.7,55.32,28.86,-342.06,83.86
37,51.2,0.8,0.7,45.55,12.91,-3.25,11.83
38,21.94,0.71,0.7,52.93,11.57,-309.29,81.86
39,40.67,0.85,0.7,61.27,16.97,-140.46,49.08
40,21.59,0.89,0.7,41.53,24.92,-346.7,84.14
41,32.88,0.8,0.7,55.16,18.52,-274.99,69.65
42,19.73,0.68,0.7,37.9,20.74,-423.41,88.55
43,55.95,0.75,0.7,14.56,26.74,-153.43,2.16
44,43.66,0.96,0.7,57.12,23.16,-105.11,50.53
45,34.01,0.74,0.7,48.01,25.98,-191.44,63.45
46,38.92,0.64,0.7,46.04,18.8,-93.24,44.1
47,61.46,0.86,0.7,42.31,27.35,-1040.11,-10.05
48,41.82,0.69,0.7,55.15,29.82,-73.44,41.73
49,18.87,0.4,0.7,52.23,22.19,-362.09,85.05
50,44.31,0.69,0.7,42.11,21.32,-93.61,39.24
51,28.36,0.73,0.7,46.46,16.08,-318.11,77.4
52,44.12,0.78,0.7,56.21,29.69,-99.15,39.9
53,45.09,0.66,0.7,39.43,19.99,-56.61,34.33
