Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
102,27.75,0.72,0.7,52.45,16.76,-252.15,73.02
103,56.78,0.97,0.7,54.31,22.2,-19.31,22.41
104,25.72,0.82,0.7,57.52,26.58,-337.0,78.59
105,48.22,0.43,0.7,49.97,24.12,-0.41,10.27
106,25.19,0.9,0.7,40.97,19.43,-290.13,80.65
107,39.4,0.48,0.7,39.69,17.54,-152.73,55.13
108,54.56,0.62,0.7,46.59,23.41,-1023.81,-0.81
109,54.42,0.76,0.7,47.12,21.16,-6.22,13.15
110,26.7,0.5,0.7,54.17,19.32,-337.33,78.61
111,53.18,0.55,0.7,19.21,15.87,0,8.52
112,33.28,0.75,0.7,36.03,17.73,-177.91,62.35
113,35.04,0.63,0.7,51.94,18.35,-189.1,58.29
114,30.75,0.64,0.7,60.68,21.71,-279.27,69.95
115,36.11,0.63,0.7,38.07,22.63,-159.1,60.78
116,62.38,0.49,0.7,45.69,18.5,-1061.96,-10.43
117,30.12,0.49,0.7,60.48,24.85,-166.79,61.43
118,23.63,0.64,0.7,51.86,20.53,-344.18,83.99
119,34.25,0.72,0.7,68.55,13.82,-224.75,66.03
120,36.88,0.61,0.7,49.47,18.75,-122.78,52.31
121,23.64,0.71,0.7,79.14,16.14,-346.87,84.15
122,37.02,0.71,0.7,56.91,25.05,-163.41,61.15
123,39.97,0.8,0.7,46.08,14.45,-140.57,49.09
124,19.25,0.49,0.7,58.76,13.2,-417.32,88.21
125,30.03,0.43,0.7,38.64,23.77,-235.79,71.87
126,49.17,0.67,0.7,71.57,27.98,-35.67,25.86
127,52.86,0.78,0.7,46.95,22.81,-12.41,20.67
128,53.59,0.66,0.7,54.99,13.96,0,5.06
129,57.77,0.5,0.7,54.11,18.48,-1041.7,-10.05
130,46.24,0.69,0.7,39.49,25.77,-19.63,22.49
131,18.32,0.86,0.7,70.32,12.51,-392.17,86.79
132,47.8,0.46,0.7,52.11,15.57,-0.19,10.13
133,37.93,0.57,0.7,40.2,14.2,-146.98,54.61
134,28.46,0.55,0.7,53.58,18.36,-266.38,74.0
135,38.28,0.7,0.7,59.0,23.13,-113.42,51.38
136,23.82,0.78,0.7,53.77,26.73,-325.02,82.83
137,25.43,0.71,0.7,59.52,22.24,-341.96,78.9
138,39.45,0.36,0.7,50.15,20.96,-31.67,30.3
139,28.9,0.61,0.7,52.9,24.7,-276.97,74.71
140,51.7,0.55,0.7,43.01,19.55,-34.26,4.49
141,46.62,0.66,0.7,32.72,26.2,-50.22,28.44
142,36.51,0.88,0.7,36.5,20.27,-166.73,56.38
143,36.33,0.9,0.7,47.34,15.73,-151.47,60.13
144,29.98,0.56,0.7,41.0,15.9,-261.48,68.71
145,37.49,0.62,0.7,65.06,27.51,-102.93,45.19
146,36.4,0.8,0.7,56.66,14.84,-194.71,58.76
147,37.58,0.58,0.7,34.18,16.14,-160.94,55.87
148,33.49,0.54,0.7,56.67,24.07,-191.5,58.49
149,47.11,0.64,0.7,30.97,18.14,-59.34,29.9
150,42.67,0.54,0.7,30.84,18.46,-94.42,39.34
151,22.25,0.55,0.7,31.69,17.73,-364.9,85.21
152,34.85,0.41,0.7,58.78,18.08,-186.81,58.1
153,37.03,0.69,0.7,51.9,18.16,-187.83,58.19
154,40.04,0.62,0.7,38.25,17.99,-76.31,37.06
155,33.45,0.77,0.7,37.44,20.09,-192.15,63.5
156,39.62,0.63,0.7,42.05,20.97,-83.83,43.0
157,31.12,0.58,0.7,65.83,15.69,-268.81,69.22
158,40.74,0.69,0.7,45.2,17.76,-148.24,49.83
159,42.78,0.75,0.7,37.14,25.06,-90.64,43.8
160,25.75,0.69,0.7,36.65,13.78,-338.52,78.68
161,39.84,0.54,0.7,69.46,13.36,-95.26,44.33
162,36.61,0.86,0.7,50.06,20.66,-160.67,60.92
163,26.52,0.77,0.7,57.44,23.34,-324.65,77.81
164,21.48,0.75,0.7,77.12,25.59,-422.02,88.47
165,38.28,0.97,0.7,32.35,24.09,-135.8,53.57
166,27.74,1.21,0.7,32.78,20.78,-266.57,74.01
167,43.59,0.54,0.7,63.33,21.65,-49.68,28.35
168,22.16,0.83,0.7,60.01,19.57,-341.39,83.82
169,28.94,0.76,0.7,33.59,21.48,-289.18,75.53
170,35.89,0.88,0.7,54.55,12.38,-176.51,62.24
171,45.93,0.65,0.7,52.77,11.88,-30.55,30.1
172,55.92,0.71,0.7,58.89,22.11,-169.32,2.0
173,46.87,0.96,0.7,70.55,25.88,-103.28,45.22
174,26.05,0.6,0.7,63.55,18.3,-288.74,75.5
175,23.98,0.64,0.7,74.83,27.17,-352.28,79.53
176,51.4,0.89,0.7,42.06,24.19,-45.16,27.58
177,31.1,0.84,0.7,48.86,20.92,-211.6,70.12
178,53.99,0.83,0.7,46.92,24.12,-12.85,20.79
179,55.19,0.78,0.7,55.41,26.45,-6.02,13.07
180,20.54,0.7,0.7,31.45,7.72,-397.19,87.08
181,54.33,0.95,0.7,47.64,22.87,-22.22,23.08
182,40.99,0.73,0.7,48.71,20.5,-145.25,49.55
183,50.84,0.51,0.7,51.87,20.03,0,6.26
