Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
136,40.67,0.66,0.25,-37.08,26.13
137,23.01,0.66,0.22,-356.02,79.76
138,30.57,0.6,0.26,-177.66,57.33
139,46.86,0.76,0.12,-70.7,36.31
140,37.24,0.73,0.18,-123.83,52.42
141,25.1,0.68,0.16,-302.34,76.39
142,44.91,0.63,0.15,-32.4,25.23
143,40.12,0.65,0.26,-33.27,25.4
144,18.74,0.68,0.16,-397.55,87.1
145,41.42,0.62,0.24,-30.02,24.75
146,46.49,0.72,0.12,-49.32,33.23
147,42.25,0.79,0.13,-122.98,47.32
148,53.01,0.67,0.19,-1013.39,-0.1
149,43.71,0.63,0.29,-0.31,10.2
150,53.38,0.73,0.3,-1025.77,-0.19
151,26.25,0.67,0.21,-272.75,74.43
152,36.61,0.59,0.18,-123.77,47.41
153,45.81,0.66,0.18,-24.44,18.71
154,53.87,0.54,0.1,-376.63,0.76
155,33.55,0.7,0.23,-151.76,55.05
156,51.71,0.82,0.28,-1015.79,-0.1
157,29.62,0.77,0.29,-173.0,61.95
158,33.82,0.62,0.23,-110.94,51.13
159,55.81,0.72,0.11,0,6.34
160,36.49,0.6,0.22,-64.72,40.62
161,40.65,0.56,0.23,-13.81,21.04
162,49.44,0.67,0.24,-1011.5,-0.01
163,54.7,0.65,0.13,-1012.8,-0.1
164,47.49,0.6,0.16,-9.59,14.43
165,43.29,0.81,0.16,-65.38,40.71
166,46.65,0.67,0.13,-35.94,31.05
167,47.9,0.82,0.21,-12.82,20.78
168,30.19,0.63,0.16,-234.9,66.78
169,46.96,0.6,0.22,-99.48,2.83
170,34.92,0.66,0.18,-184.85,57.94
171,38.84,0.72,0.29,-40.7,31.85
172,26.26,0.6,0.24,-264.99,68.95
173,22.51,0.76,0.23,-295.0,80.96
174,38.92,0.75,0.19,-131.31,48.17
175,44.71,0.72,0.18,-38.61,31.5
176,28.52,0.57,0.17,-226.33,66.14
177,36.04,0.72,0.15,-174.57,57.06
178,31.53,0.61,0.24,-159.8,55.77
179,44.41,0.69,0.21,-27.99,24.33
180,70.0,0.65,0.11,-1030.7,-0.13
181,6.39,0.68,0.24,-535.49,99.29
182,35.42,0.68,0.3,-102.68,45.16
183,44.11,0.74,0.2,-49.02,28.24
184,41.71,0.73,0.14,-98.38,44.68
185,33.25,0.67,0.11,-207.82,64.74
186,34.15,0.65,0.27,-129.46,47.99
187,34.44,0.59,0.23,-137.63,48.8
188,38.81,0.74,0.29,-61.17,34.99
189,31.46,0.66,0.21,-158.49,60.73
190,30.48,0.81,0.13,-241.07,72.25
191,36.86,0.6,0.25,-90.0,38.8
192,31.59,0.78,0.22,-198.85,64.04
193,39.6,0.67,0.26,-41.1,31.92
194,45.59,0.73,0.21,-23.49,23.37
195,39.07,0.78,0.15,-140.31,53.99
196,44.39,0.73,0.17,-46.83,27.87
197,32.28,0.71,0.26,-174.7,57.07
198,35.66,0.67,0.24,-110.91,46.05
199,40.85,0.53,0.18,-47.33,27.95
200,18.75,0.81,0.18,-422.7,88.51
201,42.19,0.67,0.11,-101.32,45.01
202,44.36,0.75,0.15,-53.46,33.86
203,27.09,0.54,0.22,-232.64,66.62
204,32.88,0.77,0.12,-275.71,69.7
205,31.29,0.77,0.2,-219.31,65.62
206,23.82,0.72,0.17,-357.66,79.86
207,38.73,0.8,0.22,-113.82,46.37
208,43.08,0.55,0.28,0,8.92
209,27.56,0.72,0.13,-279.55,74.89
210,33.59,0.67,0.15,-163.76,61.18
211,35.96,0.59,0.11,-159.94,55.78
212,47.54,0.69,0.22,-5.83,12.99
213,42.33,0.64,0.17,-41.12,31.92
214,29.72,0.68,0.24,-198.48,64.01
215,26.72,0.95,0.22,-262.15,73.71
216,66.13,0.81,0.11,-1015.32,-0.13
217,55.06,0.73,0.15,-409.3,0.63
218,25.52,0.7,0.3,-219.72,70.71
219,50.45,0.55,0.22,-1023.81,-0.08
220,37.91,0.66,0.14,-123.13,52.35
221,54.42,0.8,0.13,-18.33,17.13
222,48.23,0.85,0.26,-5.52,12.86
223,52.02,0.74,0.25,-1016.82,-0.04
224,37.52,0.76,0.27,-79.39,42.46
225,55.28,0.71,0.25,-1027.6,-0.04
226,19.54,0.61,0.21,-343.19,83.93
227,44.61,0.7,0.13,-46.08,32.72
228,35.92,0.64,0.13,-181.93,57.69
229,30.35,0.62,0.3,-170.55,56.71
230,62.57,0.81,0.13,-1011.21,-0.04
231,36.98,0.62,0.2,-101.23,45.0
232,37.46,0.51,0.11,-101.34,45.01
233,42.76,0.74,0.1,-140.0,49.03
234,20.13,0.71,0.24,-330.02,83.13
235,26.48,0.7,0.2,-263.19,73.78
236,34.36,0.73,0.26,-109.49,50.98
237,19.52,0.58,0.2,-330.21,83.14
238,26.68,0.87,0.13,-297.91,81.14
239,34.09,0.87,0.23,-163.48,56.1
240,40.94,0.83,0.16,-119.09,46.92
241,38.95,0.62,0.27,-45.0,27.55
242,63.97,0.63,0.24,-1045.82,-0.42
243,24.3,0.56,0.19,-294.28,75.86
244,36.67,0.75,0.25,-118.62,46.87
245,56.54,0.63,0.29,-1036.64,-0.09
