Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
728,42.69,0.34,0.24,-1026.28,-0.22
729,41.58,0.61,0.37,-67.89,3.43
732,55.6,0.96,0.19,-1010.41,-0.02
748,55.09,0.48,0.24,-1042.49,-0.48
759,55.67,0.87,0.15,-60.26,3.61
761,47.78,0.49,0.26,-1027.69,-0.19
764,47.59,0.48,0.21,-1026.87,-0.15
776,44.21,0.3,0.15,-1022.4,-0.16
785,42.87,0.19,0.19,-1043.97,-0.28
786,51.03,0.54,0.33,-1038.58,-0.02
791,50.54,0.94,0.25,-1011.12,-0.07
792,56.05,0.87,0.26,-1025.96,-0.15
795,46.6,0.52,0.22,-1019.51,-0.02
799,54.45,0.82,0.22,-1019.9,-0.17
802,49.31,0.46,0.19,-1028.63,-0.26
806,56.36,0.72,0.29,-1035.3,-0.42
814,49.65,0.52,0.31,-1034.83,-0.27
819,55.64,0.93,0.24,-1018.17,-0.11
824,47.11,0.4,0.28,-1034.41,-0.08
833,49.49,0.48,0.14,-1019.69,-0.02
836,51.59,0.55,0.12,-1013.81,-0.04
837,46.29,0.58,0.21,-1015.25,-0.02
845,43.58,0.53,0.23,-49.93,3.91
876,60.04,0.77,0.18,-1026.95,-0.29
879,63.08,0.53,0.35,-1064.34,-0.76
882,63.55,0.68,0.17,-1032.63,-0.28
887,48.32,0.67,0.2,-1013.47,-0.06
891,49.56,0.66,0.27,-1026.91,-0.24
896,52.44,0.66,0.25,-1028.62,-0.29
909,50.64,0.44,0.14,-1024.82,-0.06
922,47.8,0.62,0.17,-1009.27,-0.02
924,43.75,0.55,0.2,-47.6,3.98
928,52.98,0.68,0.22,-1026.43,-0.06
930,52.42,0.48,0.18,-1031.65,-0.1
935,54.5,0.88,0.16,-84.92,3.08
936,53.03,0.53,0.15,-1024.59,-0.03
940,52.21,0.85,0.24,-1017.17,-0.07
951,56.72,0.57,0.17,-1031.1,-0.09
954,49.02,0.5,0.22,-1028.83,-0.27
955,59.36,0.4,0.21,-1058.04,-0.4
959,52.44,0.54,0.2,-1030.38,-0.33
962,42.86,0.38,0.2,-1022.06,-0.02
963,57.08,0.71,0.22,-1029.2,-0.14
971,55.51,0.72,0.23,-1027.97,-0.16
973,53.96,0.69,0.26,-1031.14,-0.17
974,46.99,0.67,0.26,-1019.77,-0.02
976,49.34,0.67,0.27,-1022.74,-0.17
979,57.43,0.66,0.18,-1028.81,-0.29
984,46.14,0.76,0.31,-1018.09,-0.08
986,42.9,0.48,0.24,-1017.82,-0.1
991,49.14,0.55,0.18,-1021.32,-0.23
996,60.8,0.84,0.31,-1039.27,-0.46
997,74.03,0.64,0.26,-1070.38,-0.45
998,45.39,0.56,0.18,-1009.41,-0.0
1001,61.89,0.61,0.17,-1036.37,-0.36
1002,49.26,0.62,0.22,-1019.95,-0.13
1005,44.75,0.56,0.23,-1013.88,-0.07
1012,51.66,0.53,0.09,-343.13,0.9
1015,48.25,0.63,0.2,-1016.34,-0.11
1017,49.77,0.65,0.3,-1026.74,-0.19
