Episode,Kick_Speed,friction,Rewards,Stop_Distance
1031,46.42,0.7,-1027.45,-6.53
1033,51.78,0.7,-1044.38,-10.02
1035,51.45,0.7,-1039.12,-10.21
1038,51.49,0.7,-1049.36,-10.25
1039,53.96,0.7,-1052.26,-10.48
1041,46.63,0.7,-1031.07,-8.06
1042,61.95,0.7,-1078.24,-10.56
1044,47.56,0.7,-1022.02,-2.33
1045,55.76,0.7,-1057.16,-10.4
1054,56.69,0.7,-1065.01,-10.26
1057,50.32,0.7,-1034.4,-10.03
1069,60.02,0.7,-1073.75,-10.69
1073,50.56,0.7,-1043.32,-10.13
1074,61.11,0.7,-1075.15,-10.47
1088,47.9,0.7,-1025.65,-3.25
1091,46.42,0.7,-102.71,2.78
1093,50.57,0.7,-1046.58,-10.28
1096,52.02,0.7,-1045.08,-10.32
1100,46.12,0.7,-1018.98,-0.39
1101,61.0,0.7,-1073.3,-10.54
1104,52.19,0.7,-1047.7,-10.29
1115,52.95,0.7,-1056.13,-10.02
1116,49.86,0.7,-1033.36,-10.02
1120,46.42,0.7,-1023.03,-2.05
1123,53.25,0.7,-1054.64,-10.1
1127,64.16,0.7,-1078.71,-10.88
1129,52.31,0.7,-1047.16,-10.12
1138,47.8,0.7,-1031.54,-10.01
1139,47.06,0.7,-1027.41,-6.69
1144,49.53,0.7,-1040.31,-10.01
1152,47.51,0.7,-1028.31,-6.94
1154,50.03,0.7,-1036.07,-10.0
1159,51.71,0.7,-1047.64,-10.28
1160,59.01,0.7,-1069.7,-10.11
1161,55.54,0.7,-1058.21,-10.12
1162,44.7,0.7,-26.5,4.89
1166,49.73,0.7,-1042.1,-10.07
1170,47.15,0.7,-1030.53,-9.47
1173,49.11,0.7,-1041.49,-10.17
1174,50.32,0.7,-1042.14,-10.08
1176,45.18,0.7,-332.3,0.95
1180,57.07,0.7,-1064.43,-10.34
1182,58.76,0.7,-1072.13,-10.16
1190,50.63,0.7,-1036.78,-10.2
1191,54.16,0.7,-1060.93,-10.29
1195,49.11,0.7,-1036.72,-10.13
1196,49.03,0.7,-1037.05,-10.16
1201,53.86,0.7,-1056.56,-10.2
1207,55.55,0.7,-1058.5,-10.16
1214,47.2,0.7,-1040.28,-10.04
1215,43.17,0.7,-128.1,2.44
1217,46.71,0.7,-1018.62,-0.4
1221,49.6,0.7,-1042.74,-10.17
1222,44.02,0.7,-102.11,2.79
1225,45.26,0.7,-1031.24,-9.65
1229,44.99,0.7,-103.27,2.78
1231,43.07,0.7,-88.56,3.01
1232,50.97,0.7,-1047.45,-10.12
1235,50.42,0.7,-1047.18,-10.36
1240,54.36,0.7,-1060.02,-10.21
1248,61.65,0.7,-1078.9,-10.45
1249,46.59,0.7,-1028.27,-8.13
1250,44.26,0.7,-118.14,2.57
1251,51.98,0.7,-1054.1,-10.46
1258,48.77,0.7,-1041.26,-10.18
1265,46.67,0.7,-1025.43,-4.29
1268,48.0,0.7,-1036.81,-10.13
1271,47.99,0.7,-1037.54,-10.1
1276,44.32,0.7,-33.41,4.53
1277,48.81,0.7,-1039.69,-10.02
1278,43.53,0.7,-1019.0,-0.57
1279,45.05,0.7,-1019.97,-1.3
1280,54.54,0.7,-1058.97,-10.02
1283,60.24,0.7,-1076.15,-10.09
1285,46.22,0.7,-1034.14,-10.1
1291,42.59,0.7,-138.51,2.32
1294,43.91,0.7,-1021.36,-1.86
1295,47.45,0.7,-1039.7,-10.21
1296,43.16,0.7,-1017.21,-0.46
1297,52.44,0.7,-1053.69,-10.37
1298,51.7,0.7,-1052.75,-10.38
1300,48.17,0.7,-1043.01,-10.23
1304,47.64,0.7,-1034.72,-10.19
1307,62.65,0.7,-1076.89,-10.61
1308,54.45,0.7,-1059.84,-10.59
1312,53.35,0.7,-1057.62,-10.34
1314,60.11,0.7,-1075.95,-10.77
1319,55.97,0.7,-1065.72,-10.35
1320,48.99,0.7,-1045.93,-10.03
1323,45.91,0.7,-1032.29,-10.04
1327,51.95,0.7,-1056.11,-10.25
1329,47.93,0.7,-1038.32,-10.21
1336,48.1,0.7,-1043.73,-10.01
1344,43.89,0.7,-1022.69,-4.36
1345,51.84,0.7,-1054.76,-10.33
1359,47.66,0.7,-1042.3,-10.08
1364,44.41,0.7,-1026.64,-7.34
1365,44.04,0.7,-1029.71,-10.04
1366,43.89,0.7,-1022.17,-3.18
1367,58.05,0.7,-1076.27,-10.12
1371,41.4,0.7,-1017.36,-0.01
1372,61.13,0.7,-1081.73,-10.67
1373,52.84,0.7,-1057.1,-10.51
1376,51.78,0.7,-1052.66,-10.08
1377,48.56,0.7,-1040.94,-10.35
1386,54.03,0.7,-1057.47,-10.06
1387,43.85,0.7,-1023.6,-4.57
1391,49.05,0.7,-1049.77,-10.3
1393,54.64,0.7,-1062.11,-10.67
1398,41.97,0.7,-472.71,0.41
1401,47.09,0.7,-1043.74,-10.2
1402,46.34,0.7,-1034.84,-10.1
1405,45.19,0.7,-1035.35,-10.09
1408,48.73,0.7,-1039.84,-10.11
1411,44.97,0.7,-1029.87,-10.08
1412,59.56,0.7,-1078.15,-10.73
1413,52.21,0.7,-1058.07,-10.15
1416,47.58,0.7,-1043.57,-10.34
1418,48.4,0.7,-1047.51,-10.16
1423,43.16,0.7,-52.09,3.84
1431,42.9,0.7,-1023.16,-4.32
1433,51.84,0.7,-1053.46,-10.55
1435,44.84,0.7,-1028.37,-8.19
1436,40.65,0.7,-155.93,2.13
1437,46.66,0.7,-1043.47,-10.17
1441,45.78,0.7,-1037.3,-10.04
1443,50.06,0.7,-1051.92,-10.5
1444,42.01,0.7,-1023.42,-4.35
1445,57.13,0.7,-1071.04,-10.55
1446,45.63,0.7,-1030.63,-10.08
1447,52.29,0.7,-1058.11,-10.4
1448,55.79,0.7,-1067.84,-10.61
1449,69.98,0.7,-1100.56,-10.61
1451,50.97,0.7,-1055.38,-10.05
1456,65.48,0.7,-1089.67,-10.51
1458,59.14,0.7,-1074.41,-10.11
1459,47.41,0.7,-1046.59,-10.18
1460,42.09,0.7,-181.92,1.89
1468,40.84,0.7,-209.5,1.67
1470,50.16,0.7,-1054.85,-10.16
1478,44.74,0.7,-1039.14,-10.21
1479,41.58,0.7,-115.11,2.61
1480,49.76,0.7,-1051.95,-10.24
1484,48.79,0.7,-1048.27,-10.04
1492,41.8,0.7,-150.53,2.19
1493,49.68,0.7,-1052.77,-10.12
1495,41.86,0.7,-1020.63,-3.23
1503,51.64,0.7,-1057.95,-10.44
1513,47.15,0.7,-1046.71,-10.03
1514,61.58,0.7,-1081.02,-10.85
1515,40.64,0.7,-1017.54,-0.82
1516,42.84,0.7,-1034.44,-10.18
1518,46.09,0.7,-1040.11,-10.15
1519,43.56,0.7,-1031.18,-10.02
1520,71.42,0.7,-1105.77,-11.22
1521,53.63,0.7,-1065.55,-10.74
1522,46.85,0.7,-1045.1,-10.08
1523,55.25,0.7,-1068.89,-10.58
1526,52.66,0.7,-1065.2,-10.72
1527,49.01,0.7,-1048.4,-10.08
1528,47.09,0.7,-1043.49,-10.3
1532,49.01,0.7,-1047.91,-10.47
1533,56.75,0.7,-1072.26,-10.12
1535,41.45,0.7,-1026.48,-9.36
1537,42.45,0.7,-1026.99,-9.31
1538,41.15,0.7,-291.93,1.16
1540,40.12,0.7,-63.47,3.53
1542,42.81,0.7,-1027.5,-7.53
1544,46.72,0.7,-1044.15,-10.41
1546,60.89,0.7,-1085.06,-10.45
1548,55.24,0.7,-1069.09,-10.22
1550,50.15,0.7,-1055.81,-10.55
1551,53.96,0.7,-1065.11,-10.03
1552,41.24,0.7,-203.9,1.72
1554,43.45,0.7,-1034.53,-10.17
1557,46.98,0.7,-1043.42,-10.29
1562,39.66,0.7,-359.65,0.83
1567,50.13,0.7,-1052.58,-10.04
1570,56.46,0.7,-1071.87,-10.69
1573,38.78,0.7,-259.99,1.34
1577,47.0,0.7,-1040.95,-10.16
1579,57.66,0.7,-1076.22,-10.66
1580,45.85,0.7,-1038.51,-10.03
1582,38.94,0.7,-255.18,1.37
1585,42.23,0.7,-1030.23,-10.07
1586,48.73,0.7,-1054.11,-10.29
1588,54.7,0.7,-1069.01,-10.37
1590,50.0,0.7,-1056.02,-10.47
1591,58.71,0.7,-1076.6,-10.77
1593,47.08,0.7,-1046.62,-10.13
1598,41.21,0.7,-1022.68,-5.91
1603,41.68,0.7,-1033.33,-10.05
1604,61.13,0.7,-1082.89,-10.17
1605,44.74,0.7,-1041.1,-10.28
1607,54.38,0.7,-1068.28,-10.47
1608,40.9,0.7,-1024.93,-7.31
1612,51.04,0.7,-1058.58,-10.52
