Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance,test
3234,52.24,0.7,0.3,-27.64,4.83,1.0
3238,36.59,0.7,0.3,-27.26,4.85,1.0
3239,36.64,0.7,0.3,-27.13,4.86,1.0
3240,31.09,0.7,0.3,-28.28,4.79,1.0
3241,30.6,0.7,0.3,-25.36,4.96,1.0
3244,45.5,0.7,0.3,-24.9,4.99,1.0
3245,32.15,0.7,0.3,-28.23,4.8,1.0
3248,40.82,0.7,0.3,-26.77,4.88,1.0
3249,41.45,0.7,0.3,-27.13,4.86,1.0
3250,42.26,0.7,0.3,-25.72,4.94,1.0
3251,33.25,0.7,0.3,-27.97,4.81,1.0
3253,57.26,0.7,0.3,-30.51,4.67,1.0
3254,44.22,0.7,0.3,-28.17,4.8,1.0
3256,47.17,0.7,0.3,-28.13,4.8,1.0
3257,54.02,0.7,0.3,0.0,5.0,1.0
3258,48.3,0.7,0.3,-24.93,4.99,1.0
3260,48.16,0.7,0.3,-26.21,4.91,1.0
3261,48.82,0.7,0.3,-26.94,4.87,1.0
3262,67.43,0.7,0.3,-24.9,4.99,1.0
3263,41.98,0.7,0.3,-27.36,4.84,1.0
3264,30.45,0.7,0.3,-25.52,4.95,1.0
3265,36.6,0.7,0.3,-42.9,4.14,1.0
3268,44.83,0.7,0.3,-32.62,4.57,1.0
3269,41.97,0.7,0.3,-38.81,4.3,1.0
3271,54.1,0.7,0.3,-44.58,4.08,1.0
3272,48.81,0.7,0.3,-35.96,4.42,1.0
3273,40.12,0.7,0.3,-42.66,4.15,1.0
3274,58.52,0.7,0.3,-40.07,4.25,1.0
3275,38.46,0.7,0.3,-39.03,4.29,1.0
3277,42.96,0.7,0.3,-39.78,4.26,1.0
3278,50.58,0.7,0.3,-40.34,4.24,1.0
3280,39.64,0.7,0.3,-43.17,4.13,1.0
3281,32.76,0.7,0.3,-39.61,4.27,1.0
3282,47.66,0.7,0.3,-38.9,4.3,1.0
3283,31.15,0.7,0.3,-37.89,4.34,1.0
3284,43.84,0.7,0.3,-39.26,4.28,1.0
3285,53.81,0.7,0.3,-37.76,4.34,1.0
3286,36.59,0.7,0.3,-39.95,4.25,1.0
3287,41.64,0.7,0.3,-38.04,4.33,1.0
3288,40.65,0.7,0.3,-46.46,4.02,1.0
3289,35.7,0.7,0.3,-41.33,4.2,1.0
3290,34.89,0.7,0.3,-43.03,4.14,1.0
3292,39.76,0.7,0.3,-41.15,4.21,1.0
3293,48.47,0.7,0.3,-50.99,3.87,1.0
3294,34.07,0.7,0.3,-53.81,3.79,1.0
3295,58.88,0.7,0.3,-52.38,3.83,1.0
3296,36.28,0.7,0.3,-46.46,4.02,1.0
3297,46.75,0.7,0.3,-50.72,3.88,1.0
3298,48.15,0.7,0.3,-54.85,3.76,1.0
3299,42.33,0.7,0.3,-56.04,3.73,1.0
3300,42.08,0.7,0.3,-48.85,3.94,1.0
3301,38.48,0.7,0.3,-47.64,3.98,1.0
3302,41.65,0.7,0.3,-51.51,3.86,1.0
3304,29.86,0.7,0.3,-51.78,3.85,1.0
3305,48.13,0.7,0.3,-54.16,3.78,1.0
3306,35.18,0.7,0.3,-53.39,3.8,1.0
3307,49.59,0.7,0.3,-58.16,3.67,1.0
3308,48.28,0.7,0.3,-53.79,3.79,1.0
3309,50.3,0.7,0.3,-53.38,3.8,1.0
3310,44.97,0.7,0.3,-53.18,3.81,1.0
3312,54.89,0.7,0.3,-44.98,4.07,1.0
3314,43.47,0.7,0.3,-49.34,3.93,1.0
3316,47.65,0.7,0.3,-57.67,3.68,1.0
3318,33.08,0.7,0.3,-50.27,3.9,1.0
3324,41.34,0.7,0.3,-29.62,4.72,1.0
4486,29.15,0.7,0.3,-33.96,4.51,1.0
4488,25.91,0.7,0.3,-46.07,4.03,1.0
4490,25.56,0.7,0.3,-52.17,3.84,1.0
4492,27.96,0.7,0.3,-62.47,3.56,1.0
4493,34.79,0.7,0.3,-100.64,2.82,1.0
4495,33.93,0.7,0.3,-223.92,1.57,1.0
4496,34.33,0.7,0.3,-249.87,1.4,1.0
4497,29.18,0.7,0.3,-522.9,0.25,1.0
4498,30.1,0.7,0.3,-1006.55,-0.01,1.0
4500,31.43,0.7,0.3,-1007.3,-0.0,1.0
4501,34.03,0.7,0.3,-1007.56,-0.01,1.0
4502,24.22,0.7,0.3,-1008.39,-0.01,1.0
4506,28.34,0.7,0.3,-1009.21,-0.03,1.0
4509,34.55,0.7,0.3,-1010.1,-0.06,1.0
4511,32.85,0.7,0.3,-1010.59,-0.02,1.0
4516,26.78,0.7,0.3,-1011.63,-0.07,1.0
4519,27.83,0.7,0.3,-1012.51,-0.08,1.0
4520,25.68,0.7,0.3,-1013.08,-0.02,1.0
4522,23.73,0.7,0.3,-1013.64,-0.03,1.0
4523,26.19,0.7,0.3,-1014.53,-0.06,1.0
4527,25.32,0.7,0.3,-1015.62,-0.13,1.0
4533,24.78,0.7,0.3,-1017.77,-0.13,1.0
4535,26.81,0.7,0.3,-1018.94,-0.14,1.0
4538,33.03,0.7,0.3,-1018.83,-0.13,1.0
4539,25.64,0.7,0.3,-1018.87,-0.1,1.0
4545,32.48,0.7,0.3,-1022.47,-0.07,1.0
4547,29.81,0.7,0.3,-1023.62,-0.04,1.0
4548,19.98,0.7,0.3,-1011.93,-0.07,1.0
4551,17.86,0.7,0.3,-1008.62,-0.07,1.0
4552,34.02,0.7,0.3,-1026.32,-0.01,1.0
4553,24.05,0.7,0.3,-1017.31,-0.1,1.0
4560,35.66,0.7,0.3,-1029.05,-0.13,1.0
4561,40.98,0.7,0.3,-88.28,3.02,1.0
4564,29.16,0.7,0.3,-1023.15,-0.01,1.0
4565,29.59,0.7,0.3,-1023.67,-0.15,1.0
4566,42.8,0.7,0.3,-204.8,1.71,1.0
4568,41.69,0.7,0.3,-1035.56,-0.09,1.0
4570,56.49,0.7,0.3,-85.29,3.07,1.0
4571,27.23,0.7,0.3,-1021.3,-0.07,1.0
4572,15.29,0.7,0.3,-31.72,4.61,1.0
4573,48.78,0.7,0.3,-1042.28,-0.05,1.0
4574,40.83,0.7,0.3,-1035.5,-0.01,1.0
4575,44.34,0.7,0.3,-1038.98,-0.21,1.0
4576,45.34,0.7,0.3,-1039.97,-0.37,1.0
4577,48.31,0.7,0.3,-1042.95,-0.21,1.0
4578,28.24,0.7,0.3,-1022.47,-0.05,1.0
4579,42.97,0.7,0.3,-1037.53,-0.15,1.0
4580,53.7,0.7,0.3,-1048.25,-0.09,1.0
4581,32.84,0.7,0.3,-1027.33,-0.02,1.0
4582,39.89,0.7,0.3,-1034.61,-0.21,1.0
4583,26.98,0.7,0.3,-1021.28,-0.05,1.0
4584,19.42,0.7,0.3,-1012.04,-0.01,1.0
4585,40.44,0.7,0.3,-1035.04,-0.04,1.0
4586,50.1,0.7,0.3,-1044.83,-0.13,1.0
4587,21.46,0.7,0.3,-1014.55,-0.16,1.0
4588,45.68,0.7,0.3,-1040.34,-0.39,1.0
4589,32.92,0.7,0.3,-1027.66,-0.2,1.0
4590,41.71,0.7,0.3,-1036.5,-0.28,1.0
4591,26.66,0.7,0.3,-1020.81,-0.09,1.0
4592,38.16,0.7,0.3,-1032.96,-0.35,1.0
4593,53.14,0.7,0.3,-1047.82,-0.53,1.0
4594,34.0,0.7,0.3,-1028.72,-0.14,1.0
4595,40.51,0.7,0.3,-1035.3,-0.35,1.0
4596,45.9,0.7,0.3,-1040.66,-0.23,1.0
4597,23.53,0.7,0.3,-1017.31,-0.01,1.0
4598,43.26,0.7,0.3,-1038.0,-0.21,1.0
4599,36.09,0.7,0.3,-1030.91,-0.11,1.0
4600,35.78,0.7,0.3,-1030.55,-0.1,1.0
4601,56.22,0.7,0.3,-1050.84,-0.23,1.0
4602,48.61,0.7,0.3,-1043.28,-0.46,1.0
4603,40.71,0.7,0.3,-1035.41,-0.26,1.0
4604,46.94,0.7,0.3,-1041.7,-0.32,1.0
4605,34.26,0.7,0.3,-1028.97,-0.33,1.0
4606,37.81,0.7,0.3,-1032.61,-0.32,1.0
4607,31.06,0.7,0.3,-1025.55,-0.3,1.0
4608,52.89,0.7,0.3,-1047.56,-0.37,1.0
4609,36.39,0.7,0.3,-1031.24,-0.37,1.0
4610,56.99,0.7,0.3,-1051.69,-0.49,1.0
4611,45.7,0.7,0.3,-1040.6,-0.43,1.0
4612,28.68,0.7,0.3,-1023.41,-0.16,1.0
4613,48.14,0.7,0.3,-1042.92,-0.43,1.0
4614,31.85,0.7,0.3,-1026.81,-0.01,1.0
4615,16.8,0.7,0.3,-1008.59,-0.09,1.0
4617,34.9,0.7,0.3,-1025.87,-0.07,1.0
4618,24.56,0.7,0.3,-1018.61,-0.1,1.0
4621,25.27,0.7,0.3,-1016.3,-0.02,1.0
4622,16.29,0.7,0.3,-1007.25,-0.03,1.0
4624,29.97,0.7,0.3,-1010.21,-0.04,1.0
4625,28.56,0.7,0.3,-1007.35,-0.0,1.0
4626,30.7,0.7,0.3,-70.33,3.37,1.0
4851,20.17,0.7,0.3,-67.54,3.44,1.0
4856,24.11,0.7,0.3,-40.76,4.22,1.0
4865,25.8,0.7,0.3,-56.19,3.72,1.0
4866,26.71,0.7,0.3,-61.29,3.59,1.0
4879,22.62,0.7,0.3,-75.59,3.26,1.0
4895,26.12,0.7,0.3,-113.31,2.63,1.0
4897,22.89,0.7,0.3,-109.54,2.68,1.0
4902,25.46,0.7,0.3,-95.81,2.89,1.0
4909,26.1,0.7,0.3,-116.42,2.59,1.0
4915,24.77,0.7,0.3,-47.71,3.98,1.0
