Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,75.18,0.7,0.3,-21.46,17.96
1,74.82,0.7,0.3,-14.99,21.35
2,77.86,0.7,0.3,-3.29,11.85
3,73.85,0.7,0.3,-16.03,21.61
4,78.36,0.7,0.3,-1.62,10.98
5,77.84,0.7,0.3,-5.29,12.76
6,72.17,0.7,0.3,-35.72,25.87
7,71.22,0.7,0.3,-41.62,26.96
8,74.63,0.7,0.3,-16.59,21.75
9,73.52,0.7,0.3,-13.52,20.97
10,76.83,0.7,0.3,-12.92,15.54
11,82.09,0.7,0.3,-96.43,2.88
12,83.51,0.7,0.3,-1034.58,-0.07
