Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,71.02,0.7,0.3,-42.12,27.05
1,76.31,0.7,0.3,-11.64,15.13
2,68.62,0.7,0.3,-47.56,32.96
3,76.9,0.7,0.3,-17.17,16.81
4,72.58,0.7,0.3,-31.44,25.04
5,72.82,0.7,0.3,-27.8,24.29
6,75.6,0.7,0.3,-28.15,19.58
7,72.63,0.7,0.3,-24.7,23.63
8,76.67,0.7,0.3,-11.25,15.0
9,70.9,0.7,0.3,-32.51,25.25
10,77.22,0.7,0.3,-10.59,14.78
11,75.47,0.7,0.3,-19.41,17.43
12,76.64,0.7,0.3,-13.21,15.63
13,78.77,0.7,0.3,0,9.95
14,75.68,0.7,0.3,-22.71,18.28
15,72.93,0.7,0.3,-25.56,23.82
16,72.67,0.7,0.3,-25.58,23.82
17,73.74,0.7,0.3,-21.63,22.95
18,74.94,0.7,0.3,-20.92,17.83
19,72.41,0.7,0.3,-30.61,24.87
20,76.03,0.7,0.3,-9.57,14.42
21,77.4,0.7,0.3,-6.83,13.4
22,76.55,0.7,0.3,-15.18,16.23
23,69.45,0.7,0.3,-30.97,30.18
24,84.39,0.7,0.3,-1038.9,-1.87
