Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
142,40.3,0.7,0.3,-99.37,39.93
143,28.72,0.7,0.3,0,6.72
144,32.03,0.7,0.3,-48.35,33.08
145,32.65,0.7,0.3,-51.61,33.58
146,36.21,0.7,0.3,-71.75,36.45
147,36.12,0.7,0.3,-71.6,36.43
148,27.95,0.7,0.3,0,6.79
149,43.34,0.7,0.3,-78.39,42.34
150,37.03,0.7,0.3,-77.91,37.27
151,18.92,0.7,0.3,0,6.77
152,43.74,0.7,0.3,-81.38,42.7
153,34.82,0.7,0.3,-65.91,35.66
154,34.87,0.7,0.3,-64.74,35.49
155,41.11,0.7,0.3,-65.8,40.76
156,43.64,0.7,0.3,-83.49,42.96
157,29.98,0.7,0.3,0,6.8
158,28.29,0.7,0.3,0,6.75
159,39.03,0.7,0.3,-92.52,39.11
160,30.86,0.7,0.3,-42.25,32.11
161,25.32,0.7,0.3,0,6.53
162,22.95,0.7,0.3,0,6.78
163,40.22,0.7,0.3,-60.32,40.04
164,61.48,0.7,0.3,-106.84,45.61
165,50.66,0.7,0.3,-196.05,63.81
166,46.49,0.7,0.3,-109.01,45.85
167,45.61,0.7,0.3,-100.47,44.91
168,55.01,0.7,0.3,-151.61,55.03
169,45.39,0.7,0.3,-95.67,44.37
170,24.29,0.7,0.3,0,6.77
171,25.0,0.7,0.3,0,6.79
172,35.65,0.7,0.3,-69.57,36.16
173,57.0,0.7,0.3,-107.87,50.82
174,46.81,0.7,0.3,-115.1,46.5
175,36.88,0.7,0.3,-76.73,37.12
176,40.47,0.7,0.3,-61.92,40.25
177,36.6,0.7,0.3,-75.03,36.89
178,27.65,0.7,0.3,0,6.79
179,58.58,0.7,0.3,-104.82,50.5
180,43.1,0.7,0.3,-79.04,42.42
181,27.88,0.7,0.3,0,6.79
182,33.47,0.7,0.3,-56.42,34.3
183,51.61,0.7,0.3,-174.35,62.06
184,40.78,0.7,0.3,-62.55,40.34
185,30.31,0.7,0.3,-37.74,31.36
186,42.07,0.7,0.3,-71.06,41.43
187,30.96,0.7,0.3,-43.06,32.24
188,42.51,0.7,0.3,-74.52,41.87
189,36.28,0.7,0.3,-72.61,36.57
190,36.06,0.7,0.3,-71.45,36.41
191,48.65,0.7,0.3,-225.52,66.08
