Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,42.61,0.19,0.24,-1043.11,-0.2
1,39.8,0.43,0.18,-7.48,13.65
2,58.75,0.38,0.24,-1064.32,-0.31
3,40.84,0.62,0.19,-255.9,1.36
4,16.1,0.41,0.13,-341.98,78.9
5,66.83,0.36,0.2,-1082.75,-0.41
6,43.75,0.33,0.24,-1047.37,-0.05
7,40.14,0.31,0.25,-1045.07,-0.08
8,37.4,0.56,0.24,-1032.01,-0.01
9,69.51,0.52,0.2,-1073.45,-0.13
