Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,74.04,0.7,0.3,-15.63,21.51
1,79.01,0.7,0.3,0,8.29
2,75.74,0.7,0.3,-21.59,18.0
3,71.4,0.7,0.3,-50.26,28.45
4,73.88,0.7,0.3,-11.7,20.48
5,81.04,0.7,0.3,-54.73,3.76
