Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
98,10.79,10.79,22.43,29.68,0.37,-245.62,72.57
99,28.72,28.72,19.25,32.14,0.65,-1076.98,-0.07
100,29.39,29.39,19.84,97.19,0.22,-548.81,0.17
101,19.48,19.48,19.84,44.39,0.48,-19.59,22.48
102,13.86,13.86,19.84,86.01,0.8,-189.0,58.28
103,36.55,36.55,28.51,72.33,0.43,-583.86,0.08
104,44.97,44.97,37.32,51.1,0.51,-1149.28,-0.04
105,9.35,9.35,37.32,42.34,0.1,-351.83,79.5
106,13.72,13.72,37.32,70.6,0.19,-196.59,58.91
107,39.58,39.58,31.16,24.75,0.38,-562.86,0.13
108,40.72,40.72,32.6,78.31,0.24,-1130.38,-0.37
109,42.94,42.94,35.11,34.27,0.74,-1140.44,-0.13
110,12.4,12.4,35.11,83.48,0.36,-197.63,63.94
111,12.45,12.45,35.11,41.73,0.44,-227.01,66.2
112,23.17,23.17,8.62,54.76,0.49,-1034.48,-0.06
113,22.76,22.76,9.44,65.03,0.55,-1037.77,-0.08
114,21.35,21.35,6.36,4.57,0.42,-370.2,0.79
115,40.14,40.14,32.07,11.87,0.58,-605.2,0.02
116,35.28,35.28,26.62,46.51,0.6,-607.51,0.01
117,29.12,29.12,18.52,50.74,0.21,-1074.07,-0.05
118,38.95,38.95,30.38,69.53,0.47,-1121.52,-0.21
119,5.49,5.49,30.38,69.0,0.6,-409.82,92.78
120,26.7,26.07,16.05,12.81,0.46,-1064.2,-0.09
121,35.07,35.07,27.15,85.19,0.47,-1108.62,-0.04
122,41.06,41.06,32.98,78.98,0.45,-1131.92,-0.16
123,18.41,18.41,32.98,7.91,0.83,-53.37,28.95
124,28.47,28.47,18.08,1.67,0.57,-610.72,0.01
125,36.71,36.71,28.11,92.59,0.36,-572.67,0.11
126,44.2,43.42,36.52,10.71,0.53,-1146.08,-0.13
127,21.94,21.94,8.28,6.3,0.44,-1033.13,-0.07
128,44.26,44.26,36.6,14.95,0.42,-531.54,0.22
129,34.19,34.19,24.46,69.93,0.39,-1097.84,-0.12
130,26.2,25.57,15.69,72.82,0.6,-1062.76,-0.03
131,26.29,26.29,15.3,33.92,0.34,-612.36,0.0
132,19.92,19.92,15.3,42.01,0.42,-26.16,19.12
133,24.77,24.77,11.44,53.91,0.26,-1045.77,-0.16
134,31.78,31.78,22.78,37.58,0.33,-1091.11,-0.11
135,12.98,12.98,22.78,82.79,0.56,-174.21,62.05
136,18.37,18.37,22.78,79.58,0.68,-39.49,31.65
137,23.96,23.96,10.8,74.49,0.54,-1043.22,-0.06
138,17.89,17.89,10.8,25.97,0.67,-41.55,26.95
139,6.81,6.81,10.8,2.28,0.52,-423.61,88.56
140,8.59,8.59,10.8,1.51,0.48,-374.6,90.83
141,30.06,30.06,20.04,84.74,0.62,-1080.16,-0.11
142,26.51,25.88,13.79,9.39,0.46,-1055.14,-0.02
143,41.41,41.41,33.66,46.56,0.33,-520.92,0.25
144,41.72,41.72,33.65,36.42,0.64,-1134.61,-0.16
145,29.56,29.56,18.93,93.75,0.54,-561.75,0.14
146,22.35,22.35,18.93,36.89,0.24,-83.89,43.01
147,36.64,36.64,27.75,14.9,0.53,-1111.01,-0.12
148,26.27,25.64,15.47,41.42,0.51,-1061.89,-0.06
149,28.57,27.92,17.75,4.68,0.69,-593.2,0.05
150,12.48,12.48,17.75,95.2,0.6,-235.63,66.84
151,16.6,16.6,17.75,93.34,0.35,-88.55,38.62
152,22.73,22.73,6.98,41.55,0.5,-1027.92,-0.05
153,12.81,12.81,6.98,91.03,0.89,-192.27,63.51
154,24.23,24.23,12.11,39.7,0.65,-1048.44,-0.09
155,9.87,9.87,12.11,48.89,0.54,-292.41,75.74
156,16.33,16.33,12.11,20.01,0.72,-95.6,39.48
157,18.62,18.13,12.11,52.69,0.59,-51.38,28.63
158,33.18,33.18,24.62,84.54,0.6,-1098.48,-0.01
159,30.26,30.26,20.67,85.69,0.47,-1082.67,-0.12
160,17.24,17.24,20.67,97.46,0.28,-53.86,33.92
161,21.89,21.89,5.04,15.06,0.48,0,5.32
162,28.12,28.12,19.15,10.91,0.4,-1076.58,-0.07
163,33.3,33.3,24.36,92.29,0.36,-1097.44,-0.01
164,19.48,19.48,24.36,27.72,0.65,-10.72,20.2
165,14.73,14.73,24.36,85.75,0.49,-130.28,53.04
166,20.1,20.1,24.36,55.54,0.59,-13.98,15.87
167,15.69,15.69,24.36,89.66,0.35,-139.88,49.02
168,17.51,17.51,24.36,32.92,0.48,-42.16,32.09
169,6.0,6.0,24.36,92.36,0.58,-361.52,90.09
170,35.49,35.49,26.85,24.42,0.48,-1107.41,-0.06
171,35.87,35.87,26.95,51.15,0.46,-1107.79,-0.14
172,5.47,5.47,26.95,88.19,0.54,-397.86,92.12
173,42.25,42.25,34.92,44.66,0.57,-1139.69,-0.43
174,25.19,25.19,12.39,6.63,0.57,-1049.56,-0.06
175,35.89,35.89,27.57,79.0,0.53,-523.5,0.25
176,15.84,15.84,27.57,19.71,0.53,-104.5,45.36
177,10.6,10.6,27.57,28.16,0.62,-219.57,70.7
178,5.6,5.6,27.57,78.86,0.62,-394.64,91.95
179,42.95,42.95,35.3,91.39,0.59,-607.68,0.01
180,28.26,28.26,18.03,25.96,0.52,-1072.14,-0.02
181,32.22,32.22,23.1,87.18,0.45,-590.08,0.06
182,32.15,32.15,22.52,85.26,0.54,-1090.08,-0.04
183,40.34,40.34,31.83,98.42,0.59,-1127.31,-0.02
184,6.37,6.37,31.83,74.89,0.24,-428.35,88.82
185,17.63,17.63,31.83,63.9,0.38,-62.08,35.12
186,39.61,39.61,30.54,38.46,0.57,-577.43,0.09
187,27.74,27.74,17.19,10.84,0.39,-606.51,0.02
188,44.02,44.02,35.7,92.4,0.4,-585.76,0.07
189,36.19,36.19,28.21,11.41,0.65,-1112.85,-0.11
190,9.17,9.17,28.21,34.4,0.26,-354.68,79.68
191,15.19,15.19,28.21,46.86,0.52,-128.07,47.85
192,28.43,28.43,18.88,52.25,0.7,-555.56,0.15
193,27.01,27.01,15.59,27.97,0.42,-1062.35,-0.06
194,18.91,18.91,15.59,79.55,0.55,-59.28,29.89
195,31.4,31.4,21.38,60.44,0.74,-1085.51,-0.28
196,34.94,34.94,26.1,5.52,0.42,-1104.39,-0.01
197,40.31,40.31,32.46,18.44,0.43,-613.06,0.0
198,44.03,44.03,35.22,50.2,0.45,-1140.89,-0.16
199,28.53,28.53,18.27,14.01,0.42,-566.82,0.12
200,40.99,40.99,32.23,62.72,0.11,-1128.91,-0.31
201,40.34,40.34,32.05,10.76,0.74,-569.56,0.11
202,39.59,39.59,30.27,72.95,0.59,-1121.07,-0.07
203,33.15,33.15,24.16,2.76,0.22,-1096.62,-0.06
204,9.62,9.62,24.16,63.76,0.46,-324.45,77.8
205,25.52,25.52,14.5,72.34,0.36,-1058.01,-0.06
206,41.2,41.2,32.39,47.23,0.25,-1129.57,-0.03
207,20.93,20.38,32.39,5.53,0.24,-32.69,30.48
208,21.27,21.27,32.39,59.12,0.35,-43.4,27.27
209,16.56,16.56,32.39,76.02,0.68,-93.76,44.16
210,21.52,21.52,5.89,34.26,0.45,-85.01,3.08
211,39.94,39.94,31.4,17.2,0.5,-612.92,0.0
212,35.25,34.54,26.51,10.53,0.52,-1106.04,-0.12
213,36.33,36.33,27.56,22.11,0.45,-595.2,0.05
214,8.98,8.98,27.56,27.7,0.22,-344.27,79.04
215,32.25,32.25,22.49,33.53,0.52,-1089.96,-0.03
216,10.19,10.19,22.49,74.8,0.29,-282.68,75.1
217,8.46,8.46,22.49,9.76,0.55,-331.25,83.21
218,24.56,24.56,12.74,71.95,0.46,-1050.97,-0.18
219,29.29,29.29,20.17,46.72,0.51,-1080.69,-0.12
220,24.74,24.74,9.28,83.31,0.41,0,5.94
221,6.26,6.26,9.28,21.34,0.04,-445.58,89.76
222,35.06,35.06,26.28,91.01,0.55,-1105.14,-0.01
223,9.11,9.11,26.28,84.48,0.6,-349.1,79.34
224,34.87,34.87,25.74,87.24,0.28,-567.34,0.12
225,13.75,13.75,25.74,32.45,0.46,-163.68,61.17
226,44.47,44.47,36.66,76.32,0.76,-535.98,0.21
227,30.86,30.86,20.77,66.64,0.66,-610.19,0.01
228,36.03,36.03,28.19,77.25,0.58,-587.62,0.07
229,40.7,40.7,32.78,16.89,0.69,-1131.14,-0.04
230,21.34,21.34,3.67,92.85,0.39,0,7.15
231,30.11,30.11,20.76,7.02,0.44,-579.51,0.09
232,16.89,16.89,20.76,35.96,0.64,-118.69,46.88
233,30.78,30.78,21.77,1.21,0.61,-1087.1,-0.13
234,32.28,32.28,22.42,45.03,0.17,-1089.68,-0.0
235,35.27,35.27,26.83,18.8,0.68,-1107.31,-0.11
236,27.36,27.36,16.24,2.83,0.5,-1064.96,-0.07
237,44.07,44.07,36.68,29.49,0.75,-612.88,0.0
238,36.44,36.44,27.53,95.15,0.69,-1110.12,-0.04
239,42.1,41.33,33.39,30.3,0.75,-1133.55,-0.04
240,7.68,7.68,33.39,71.81,0.35,-397.32,87.08
241,5.64,5.64,33.39,70.58,0.57,-394.5,91.94
242,14.6,14.6,33.39,73.14,0.52,-201.78,59.34
243,37.02,37.02,27.78,24.96,0.55,-1111.11,-0.11
244,26.24,26.24,14.23,46.67,0.6,-1056.91,-0.04
245,41.08,41.08,33.15,27.54,0.49,-560.87,0.14
246,31.88,31.88,21.61,79.03,0.44,-1086.46,-0.16
247,42.16,41.39,33.91,49.2,0.35,-1135.66,-0.13
248,41.39,41.39,33.2,76.68,0.5,-1132.79,-0.21
249,8.26,8.26,33.2,11.17,0.61,-347.57,84.19
250,8.64,8.64,33.2,7.3,0.51,-311.74,82.01
251,28.39,28.39,17.46,20.89,0.75,-1069.84,-0.12
252,16.78,16.78,17.46,38.69,0.44,-98.27,44.67
253,25.55,25.55,12.52,34.73,0.38,-1050.1,-0.08
254,31.32,30.64,21.75,35.15,0.82,-572.68,0.11
255,6.76,6.76,21.75,79.81,0.37,-442.87,89.61
256,29.23,29.23,17.33,53.66,0.44,-1069.31,-0.14
257,32.28,32.28,22.52,70.53,0.39,-1090.08,-0.12
258,23.56,22.97,8.25,3.9,0.45,-1032.98,-0.09
259,25.57,25.57,13.44,8.45,0.41,-1053.77,-0.06
260,37.04,37.04,27.57,74.4,0.49,-556.1,0.15
261,9.8,9.8,27.57,38.01,0.57,-333.27,78.36
262,23.36,23.36,7.58,94.09,0.52,-1030.32,-0.04
263,30.22,30.22,19.06,12.69,0.22,-1076.26,-0.08
264,30.91,30.91,21.02,20.85,0.42,-1084.09,-0.03
265,37.65,36.91,28.71,93.66,0.5,-1114.83,-0.02
266,22.31,22.31,3.67,62.03,0.42,0,7.39
267,19.92,19.92,3.67,8.9,0.31,-28.55,24.45
268,32.41,32.41,22.28,52.74,0.74,-580.56,0.08
269,15.28,15.28,22.28,53.99,0.57,-136.67,53.65
270,6.58,6.58,22.28,22.24,0.61,-437.38,89.31
271,35.75,35.75,25.79,40.59,0.36,-1103.18,-0.13
272,9.23,9.23,25.79,6.06,0.4,-294.47,80.93
273,7.63,7.63,25.79,50.96,0.46,-360.49,84.96
274,38.66,38.66,30.66,17.08,0.47,-604.79,0.02
275,18.45,18.45,30.66,40.41,0.68,-71.8,36.46
276,9.54,9.54,30.66,98.34,0.37,-297.06,81.09
277,14.1,13.72,30.66,91.32,0.7,-170.51,56.71
278,35.4,35.4,25.36,29.8,0.65,-1101.46,-0.25
279,40.65,40.65,31.98,47.36,0.68,-612.81,0.0
280,37.46,37.46,27.97,1.52,0.61,-1111.9,-0.37
281,18.53,18.53,27.97,76.76,0.58,-34.25,30.76
282,16.8,16.35,27.97,3.0,0.34,-68.23,41.07
283,11.61,11.61,27.97,43.34,0.4,-253.69,73.13
284,5.65,5.65,27.97,61.99,0.18,-410.49,92.82
285,28.84,28.84,17.12,2.6,0.54,-1068.49,-0.1
286,10.21,10.21,17.12,16.75,0.37,-328.85,78.08
287,42.9,42.13,35.27,82.64,0.78,-1141.07,-0.07
288,28.94,28.94,18.09,86.61,0.76,-1072.36,-0.01
289,22.63,22.63,9.72,78.16,0.47,-1038.88,-0.0
290,22.6,22.6,8.15,48.48,0.42,-1032.6,-0.11
291,9.21,9.21,8.15,1.47,0.58,-293.92,80.89
292,10.99,10.99,8.15,98.29,0.22,-297.83,76.09
293,24.89,24.89,11.61,33.57,0.48,-1046.43,-0.02
