Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,28.54,28.54,5.55,65.22,0.13,-153.27,60.28
1,40.98,40.98,5.55,85.79,0.57,-21.87,23.01
2,27.13,27.13,5.55,58.19,0.72,-195.43,63.77
3,15.92,15.92,5.55,70.42,0.28,-374.32,85.76
4,5.88,5.88,5.55,73.59,0.52,-490.67,97.04
5,13.66,13.66,5.55,12.23,0.61,-411.31,87.87
6,44.25,44.25,6.5,87.84,0.3,0,6.26
7,41.17,40.41,6.5,35.76,0.58,-42.48,32.14
8,41.19,41.19,6.5,20.31,0.32,-68.73,36.05
9,9.46,9.46,6.5,73.83,0.7,-426.35,93.68
10,18.09,18.09,6.5,25.37,0.51,-316.63,82.31
11,10.47,10.47,6.5,35.28,0.35,-407.91,92.68
12,12.96,12.96,6.5,92.27,0.34,-435.65,89.22
13,23.46,23.46,6.5,73.29,0.48,-238.98,72.1
14,12.48,12.48,6.5,77.47,0.46,-367.49,90.43
15,23.21,23.21,6.5,45.72,0.56,-246.47,72.63
16,34.26,34.26,6.5,89.72,0.47,-97.46,44.58
17,30.59,30.59,6.5,29.17,0.35,-152.04,55.07
18,29.44,29.44,6.5,83.4,0.41,-185.46,57.99
19,25.58,25.58,6.5,36.79,0.72,-243.45,67.41
20,44.24,44.24,6.5,44.88,0.83,-20.96,22.8
21,7.79,7.79,6.5,90.13,0.5,-460.2,95.47
22,40.03,40.03,6.5,36.79,0.49,-59.73,34.78
23,34.78,34.78,6.5,24.38,0.52,-101.02,50.11
24,18.16,18.16,6.5,5.21,0.68,-322.23,82.66
25,7.01,7.01,6.5,23.71,0.5,-474.88,96.23
26,41.73,41.73,6.5,41.13,0.58,-57.26,29.57
27,41.01,41.01,6.5,23.84,0.49,-77.79,37.25
28,31.94,31.94,6.5,8.87,0.53,-156.58,60.57
29,5.7,5.7,6.5,30.63,0.55,-493.1,97.17
30,37.62,36.89,6.5,45.33,0.19,-52.51,33.72
31,40.96,40.96,6.5,4.5,0.46,-98.84,44.73
32,30.93,30.93,6.5,34.12,0.49,-133.36,53.34
33,7.44,7.44,6.5,71.88,0.26,-466.51,95.8
34,32.19,32.19,6.5,75.42,0.55,-105.25,50.55
35,12.08,12.08,6.5,69.4,0.42,-375.82,90.9
36,25.95,25.95,6.5,49.56,0.4,-231.78,66.55
37,29.81,29.81,6.5,47.2,0.34,-173.96,57.01
38,22.25,22.25,6.5,22.11,0.6,-228.2,71.33
39,23.33,23.33,6.5,93.28,0.42,-227.68,71.29
40,38.0,38.0,6.5,72.3,0.22,-47.74,32.98
41,27.6,27.6,6.5,69.06,0.73,-181.32,62.63
42,34.71,34.71,6.5,2.78,0.69,-144.39,49.46
43,20.74,20.74,6.5,43.6,0.7,-320.6,77.56
44,22.46,22.46,6.5,19.04,0.49,-237.84,72.02
45,13.26,13.26,6.5,73.77,0.82,-439.99,89.46
46,11.9,11.9,6.5,54.9,0.48,-379.52,91.1
