Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
108,44.61,44.61,7.34,79.65,0.41,0,8.8
109,21.24,21.24,2.37,12.25,0.46,0,5.97
110,27.34,27.34,2.37,48.92,0.35,0,6.06
111,25.7,25.7,2.39,83.03,0.58,0,6.01
112,9.14,8.88,2.4,20.15,0.92,0,6.0
113,22.42,22.42,2.4,60.82,0.31,-51.49,28.65
114,31.65,30.97,2.36,53.11,0.59,0,5.96
115,14.2,14.2,2.37,32.27,0.44,0,5.99
116,35.87,35.87,2.38,61.92,0.63,0,5.95
117,21.92,21.92,2.38,26.14,0.25,-206.39,59.71
118,30.55,30.55,2.38,50.76,0.52,0,5.87
119,22.69,22.69,2.38,33.27,0.32,-118.01,46.81
120,28.32,28.32,2.38,40.23,0.45,0,5.94
121,36.38,36.38,2.38,10.17,0.33,-116.38,51.68
122,20.52,20.52,2.39,50.34,0.66,0,6.01
123,32.99,32.99,2.36,55.72,0.46,0,6.02
124,40.01,40.01,2.36,24.19,0.58,-95.84,39.51
125,23.6,23.6,2.38,9.66,0.76,0,5.99
126,39.05,38.3,2.38,43.02,0.68,-49.4,33.24
127,23.86,23.86,2.37,81.5,0.55,0,5.89
128,15.99,15.99,2.36,29.68,0.4,0,6.04
129,32.36,32.36,2.4,72.33,0.53,0,5.95
130,39.66,39.66,2.4,51.45,0.73,-34.18,30.74
131,33.35,33.35,2.38,79.06,0.36,0,5.99
132,30.38,29.71,2.38,18.03,0.13,-171.93,56.83
133,13.41,13.41,2.37,3.19,0.58,0,5.99
134,32.04,32.04,2.37,74.33,0.24,-23.55,18.49
135,11.79,11.79,2.4,84.74,0.69,0,6.01
136,42.85,42.85,2.4,16.0,0.7,-69.53,36.15
137,37.69,37.69,2.4,7.24,0.31,-104.57,50.48
138,32.53,32.53,2.38,86.38,0.67,0,6.02
139,32.24,31.55,2.38,60.47,0.33,-53.7,29.01
140,30.02,30.02,2.38,27.46,0.49,-170.29,56.69
141,7.54,7.54,2.37,61.4,0.64,0,5.98
142,31.56,31.56,2.39,70.63,0.37,0,6.0
143,23.93,23.93,2.38,13.61,0.68,0,5.93
144,14.09,14.09,2.38,68.78,0.33,-21.97,23.03
145,23.72,23.72,2.39,40.2,0.58,0,5.99
146,36.52,36.52,2.39,14.29,0.19,-142.88,49.32
147,18.43,18.43,2.39,76.25,0.5,0,6.01
148,21.91,21.91,2.36,23.77,0.47,0,6.0
149,43.83,43.83,2.36,17.27,0.36,-42.04,32.07
150,17.0,17.0,2.37,78.92,0.53,0,5.86
151,44.4,44.4,-0.0,73.1,0.53,-2.91,11.66
152,22.52,22.52,2.39,90.7,0.32,-31.35,4.63
153,34.79,34.79,2.37,99.93,0.38,0,5.98
154,25.35,25.35,2.4,47.92,0.44,0,5.86
155,38.48,38.48,2.4,62.95,0.46,-51.72,28.69
156,11.44,11.44,2.37,41.15,0.68,0,6.03
157,18.02,18.02,2.38,7.84,0.53,0,5.92
158,9.33,9.33,2.38,81.23,0.52,0,5.99
159,37.59,36.86,2.38,12.27,0.33,-112.86,46.26
160,17.93,17.93,2.39,75.6,0.45,0,5.93
161,5.81,5.81,2.39,50.88,0.31,0,6.0
162,13.34,13.34,2.39,55.47,0.42,0,5.97
163,27.5,27.5,2.37,93.27,0.39,-28.35,4.79
164,18.15,18.15,2.36,97.53,0.45,0,6.04
