Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,15.29,15.29,1.59,10.35,0.71,0,8.45
1,23.17,22.59,1.54,79.87,0.54,0,8.49
2,31.36,31.36,1.6,58.33,0.54,0,8.55
3,30.26,30.26,1.54,54.04,0.5,0,8.57
4,35.0,35.0,1.55,64.75,0.67,0,8.53
5,7.64,7.64,1.59,44.06,0.43,0,8.45
6,35.39,35.39,1.56,87.39,0.61,0,7.65
7,37.68,37.68,1.56,64.1,0.83,-45.89,27.71
8,15.13,15.13,1.61,5.06,0.69,0,8.58
9,41.7,41.7,1.61,65.84,0.3,-10.16,20.05
10,10.23,10.23,1.62,92.54,0.58,0,7.56
11,32.21,32.21,1.59,94.11,0.5,0,8.48
12,34.4,34.4,1.6,78.48,0.45,0,8.57
13,23.02,23.02,1.55,54.18,0.48,0,8.58
14,41.53,41.53,1.55,9.37,0.44,-66.41,40.84
15,17.31,17.31,1.6,6.83,0.32,0,8.47
16,39.12,39.12,1.6,25.98,0.23,-91.24,38.95
17,16.55,16.55,1.55,4.66,0.49,0,8.31
18,11.13,11.13,1.61,34.11,0.61,0,8.47
19,33.34,33.34,1.59,62.24,0.62,0,8.51
20,11.1,11.1,1.57,99.35,0.45,0,8.5
21,14.61,14.61,1.54,23.49,0.44,0,8.55
22,42.18,42.18,1.54,26.64,0.56,-53.5,33.87
23,33.63,33.63,1.59,95.72,0.8,0,8.46
24,8.26,8.26,1.6,3.29,0.22,0,8.44
25,22.64,22.64,1.55,71.54,0.77,0,8.52
26,13.05,13.05,1.54,46.25,0.25,0,8.4
27,20.07,20.07,1.54,64.13,0.48,0,8.37
28,16.26,16.26,1.61,55.4,0.67,0,8.51
29,26.3,25.67,1.59,85.35,0.52,0,8.47
30,22.98,22.98,1.59,61.94,0.61,0,8.55
31,5.08,5.08,1.58,99.18,0.31,0,8.28
32,8.91,8.65,1.52,98.75,0.43,0,8.53
33,15.96,15.96,1.54,99.92,0.58,0,8.53
34,40.64,40.64,1.54,94.46,0.58,-18.5,22.22
35,17.57,17.57,1.59,95.48,0.46,0,8.48
36,43.09,43.09,1.59,38.83,0.65,-47.48,27.98
37,36.17,36.17,1.59,44.9,0.57,-98.71,39.85
38,41.41,41.41,1.54,1.93,0.45,0,8.45
39,37.1,37.1,1.54,27.61,0.55,-83.42,42.95
40,34.31,34.31,1.59,65.89,0.57,0,8.39
41,30.65,30.65,1.59,22.8,0.59,-185.98,58.03
42,19.23,18.73,1.55,31.28,0.77,0,8.55
43,7.17,7.17,1.55,60.48,0.41,0,8.48
44,25.95,25.95,1.55,12.8,0.33,-254.43,68.2
45,36.5,36.5,1.53,66.96,0.59,0,8.53
46,8.56,8.56,1.6,59.6,0.37,0,8.47
47,35.67,35.67,1.6,58.62,0.72,-41.9,32.05
48,22.68,22.68,1.61,37.89,0.64,0,8.49
49,17.59,17.59,1.54,60.85,0.55,0,8.52
50,8.89,8.89,1.55,3.96,0.54,0,8.53
