Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,9.8,9.52,5.73,35.95,0.56,-1022.93,-0.07
1,9.67,9.67,5.67,68.26,0.55,-1022.68,-0.06
2,24.79,24.79,5.57,98.54,0.23,-1022.28,-0.09
3,11.81,11.81,5.65,51.93,0.55,-1022.61,-0.07
4,13.68,13.68,5.53,38.87,0.67,-1022.1,-0.06
5,11.08,11.08,5.7,78.03,0.43,-1022.78,-0.08
6,5.07,5.07,3.5,26.28,0.65,-1014.0,-0.07
7,21.4,21.4,3.5,53.92,0.48,-53.73,29.01
8,35.91,35.91,3.5,62.2,0.29,-48.75,28.19
9,19.15,19.15,5.69,9.04,0.47,-1022.76,-0.08
10,12.35,12.35,5.52,29.38,0.6,-1022.06,-0.06
11,15.5,15.5,5.56,26.5,0.39,-1022.25,-0.08
12,18.03,18.03,5.58,70.81,0.63,-1022.32,-0.05
13,32.76,32.76,5.58,12.13,0.63,-188.84,58.27
14,22.94,22.94,5.53,93.17,0.53,-1022.13,-0.07
15,12.05,12.05,5.68,20.91,0.54,-1022.71,-0.08
16,9.19,9.19,5.55,18.42,0.83,-1022.19,-0.09
17,41.77,41.77,5.55,41.44,0.36,-51.87,28.71
18,13.69,13.69,5.66,32.64,0.43,-1022.63,-0.07
19,30.99,30.31,5.66,27.06,0.36,-130.99,53.11
20,30.85,30.85,5.66,37.41,0.26,-120.28,47.04
21,30.66,30.66,5.66,36.34,0.43,-80.89,37.65
22,43.43,43.43,5.54,2.8,0.3,-1022.16,-3.84
23,43.24,43.24,5.47,84.38,0.44,0,8.36
24,44.76,44.76,5.47,8.41,0.41,-56.04,34.24
25,14.26,14.26,5.78,24.64,0.37,-1023.1,-0.09
26,38.31,38.31,5.66,94.99,0.46,-1022.64,-0.09
27,42.32,41.56,-0.0,79.55,0.63,-7.59,13.7
28,38.12,38.12,-0.0,81.53,0.2,-3.54,11.97
29,31.75,31.75,-0.0,18.17,0.53,-179.95,57.52
30,7.32,7.32,5.3,49.04,0.46,-1021.2,-0.08
31,41.63,41.63,5.7,82.76,0.46,-1022.78,-0.07
32,26.91,26.91,5.7,12.43,0.49,-121.07,47.13
33,28.37,28.37,5.7,55.02,0.54,-50.54,28.49
34,29.35,29.35,5.7,32.27,0.33,-105.52,50.58
35,33.67,33.67,5.7,14.87,0.51,-156.56,55.48
36,25.53,25.53,5.7,47.73,0.5,-43.29,32.27
37,44.73,44.73,5.7,62.3,0.8,-13.64,15.77
38,25.98,25.98,5.7,49.76,0.48,-38.44,31.48
39,37.77,37.77,5.65,64.45,0.47,-1022.61,-0.08
40,7.44,7.44,5.34,38.39,0.37,-1021.37,-0.08
41,11.98,11.98,5.58,67.13,0.53,-1022.3,-0.08
42,38.5,38.5,0.0,76.4,0.34,-8.87,14.17
43,20.39,19.82,5.68,91.52,0.59,-1022.7,-0.09
44,35.03,35.03,5.68,9.33,0.57,-155.21,55.36
45,35.2,35.2,5.69,74.78,0.48,-1022.78,-0.07
46,10.99,10.99,5.57,3.89,0.46,-1022.26,-0.07
47,15.55,15.55,5.54,42.98,0.44,-1022.15,-0.06
48,34.39,34.39,5.72,77.76,0.56,-1022.88,-0.09
49,43.63,43.63,5.72,45.26,0.27,-23.99,23.48
50,44.34,43.57,5.89,98.67,0.56,-1023.57,-0.12
51,11.94,11.94,5.69,18.74,0.67,-1022.77,-0.08
52,40.79,40.79,5.69,57.59,0.59,-29.11,24.57
53,9.81,9.54,5.73,98.88,0.6,-1022.94,-0.05
54,15.09,15.09,5.57,31.13,0.65,-1022.29,-0.09
55,22.84,22.84,5.52,42.26,0.98,-1022.09,-0.05
56,18.77,18.28,5.71,21.87,0.43,-1022.83,-0.07
57,26.8,26.8,5.71,13.55,0.65,-117.17,46.72
58,8.69,8.69,5.49,21.84,0.34,-1021.95,-0.08
59,18.01,17.53,5.73,98.07,0.5,-1022.9,-0.08
60,28.72,28.07,5.64,86.27,0.41,-1022.56,-0.08
61,39.07,39.07,5.64,56.59,0.34,-54.37,29.12
62,35.43,35.43,5.64,37.42,0.62,-93.94,44.18
