Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,41.39,41.39,7.6,53.45,0.37,-29.05,24.55
1,39.34,39.34,7.6,91.5,0.6,-25.39,18.94
2,27.18,27.18,7.6,63.16,0.45,-25.68,19.01
3,7.67,7.67,7.6,5.91,0.62,-25.71,19.01
4,6.38,6.38,7.6,44.13,0.24,-25.72,19.02
5,21.94,21.94,7.6,96.37,0.64,-25.86,19.05
6,9.47,9.47,7.6,72.37,0.52,-24.95,18.83
7,39.22,39.22,7.6,3.11,0.41,-68.61,36.03
8,25.27,25.27,7.6,57.44,0.58,-25.05,18.86
9,28.53,28.53,7.6,25.72,0.52,-157.28,60.63
10,14.15,14.15,7.6,22.42,0.24,-25.51,18.97
11,38.82,38.82,7.6,9.73,0.64,-120.97,47.12
12,12.02,12.02,7.6,78.72,0.66,-21.67,18.02
13,24.76,24.76,7.6,51.91,0.48,-26.11,19.11
14,21.97,21.97,7.6,77.77,0.46,-20.18,17.63
15,39.55,39.55,7.6,12.83,0.45,-93.63,44.14
16,28.51,28.51,7.6,35.54,0.46,-25.58,18.98
17,39.7,39.7,7.6,30.14,0.41,-76.85,37.13
18,9.21,9.21,7.6,17.75,0.27,-24.86,18.81
19,27.94,27.94,7.6,88.75,0.57,-25.91,19.06
20,5.5,5.21,7.6,75.04,0.35,-25.92,19.06
21,14.83,14.83,7.6,91.59,0.56,-25.46,18.95
22,11.67,11.67,7.6,34.16,0.63,-25.59,18.99
23,16.46,16.46,7.6,11.83,0.38,-25.29,18.91
24,17.66,17.66,7.6,97.27,0.69,-25.04,18.85
25,9.46,9.46,7.6,68.86,0.32,-25.78,19.03
26,25.34,25.34,7.6,72.08,0.42,-25.96,19.07
27,6.09,6.09,7.6,14.18,0.58,-26.11,19.11
28,13.09,13.09,7.6,19.98,0.58,-25.8,19.04
29,15.81,15.81,7.6,63.21,0.38,-25.7,19.01
30,25.06,25.06,7.6,54.42,0.67,-25.49,18.96
31,43.75,43.75,7.6,56.41,0.35,-20.71,17.77
32,6.06,6.06,7.6,25.97,0.72,-25.68,19.01
33,20.91,20.91,7.6,83.85,0.43,-25.96,19.07
34,39.84,39.84,7.6,84.77,0.61,-25.76,19.03
35,25.44,25.44,7.6,17.07,0.44,-238.39,67.04
36,24.09,24.09,7.6,20.09,0.55,-271.18,69.39
37,33.5,33.5,7.6,98.85,0.57,-24.93,18.83
38,6.26,6.26,7.6,47.05,0.59,-25.43,18.95
39,26.7,26.7,7.6,72.47,0.77,-26.03,19.09
40,11.25,11.25,7.6,73.65,0.5,-25.05,18.86
41,39.94,39.94,7.6,36.27,0.44,-60.34,34.87
42,11.69,11.69,7.6,25.75,0.5,-25.19,18.89
43,13.13,13.13,7.6,93.48,0.44,-24.9,18.82
44,19.65,19.65,7.6,51.52,0.63,-25.76,19.03
45,28.87,28.87,7.6,44.98,0.18,-117.13,46.72
46,42.34,42.34,7.6,22.43,0.56,-58.36,34.58
47,5.31,5.31,7.6,10.3,0.52,-25.46,18.96
48,18.83,18.83,7.6,77.8,0.62,-21.42,17.95
49,43.16,43.16,7.6,62.86,0.53,-21.86,18.07
50,23.65,23.65,7.6,82.13,0.55,-20.93,17.83
51,41.22,41.22,7.6,61.74,0.52,-21.54,22.93
52,9.15,9.15,7.6,44.91,0.42,-25.46,18.96
53,29.68,29.68,7.6,34.24,0.28,-150.44,54.93
54,32.65,32.65,7.6,32.55,0.39,-105.65,50.59
55,41.04,41.04,7.6,51.47,0.7,-47.28,27.94
56,10.97,10.97,7.6,83.91,0.49,-24.85,18.81
57,22.95,22.95,7.6,6.58,0.5,-281.38,75.01
58,34.21,34.21,7.6,7.17,0.36,-175.79,57.17
59,17.8,17.8,7.6,89.11,0.55,-25.36,18.93
60,12.11,12.11,7.6,71.93,0.38,-26.02,19.09
61,30.67,30.67,7.6,16.09,0.56,-153.18,60.28
62,42.24,42.24,7.6,61.25,0.48,-12.67,20.74
63,15.07,15.07,7.6,8.23,0.58,-24.98,18.84
64,5.88,5.88,7.6,99.7,0.44,-25.65,19.0
65,38.76,38.76,7.6,94.15,0.65,-25.61,18.99
66,11.57,11.57,7.6,92.64,0.5,-25.97,19.08
67,18.83,18.83,7.6,92.44,0.6,-25.93,19.07
68,29.97,29.97,7.6,48.18,0.83,-25.74,19.02
69,18.17,18.17,7.6,39.75,0.39,-25.91,19.06
70,16.87,16.87,7.6,64.32,0.25,-25.96,19.07
71,34.46,34.46,7.6,4.22,0.31,-193.13,58.63
72,24.2,24.2,7.6,6.5,0.41,-266.68,74.02
73,9.47,9.47,7.6,32.24,0.43,-25.89,19.06
74,41.26,40.5,7.6,26.26,0.48,-59.11,34.69
75,30.1,30.1,7.6,53.67,0.4,-25.66,19.0
76,26.65,26.65,7.6,93.28,0.56,-25.74,19.02
77,30.35,29.68,7.6,56.95,0.58,-26.1,19.11
78,32.43,32.43,7.6,22.74,0.48,-148.98,54.79
79,7.52,7.52,7.6,57.13,0.4,-25.98,19.08
80,41.49,40.73,7.6,51.2,0.65,-32.84,25.31
81,16.54,16.54,7.6,98.51,0.54,-24.95,18.83
82,39.82,39.82,7.6,30.53,0.49,-76.54,37.09
83,35.96,35.96,7.6,63.39,0.69,-25.97,19.08
84,30.31,30.31,7.6,78.28,0.58,-21.11,17.87
85,9.76,9.48,7.6,33.64,0.72,-25.76,19.03
86,34.3,34.3,7.6,32.37,0.62,-135.75,48.62
87,35.68,35.68,7.6,84.87,0.47,-25.93,19.07
88,41.36,40.6,7.6,81.56,0.79,-26.84,19.28
89,32.67,32.67,7.6,30.16,0.51,-116.68,51.71
90,30.67,30.67,7.6,92.68,0.73,-26.03,19.09
91,19.16,19.16,7.6,90.93,0.46,-25.4,18.94
92,17.14,17.14,7.6,8.32,0.39,-219.25,70.68
93,35.44,35.44,7.6,8.59,0.56,-140.3,53.99
94,25.39,25.39,7.6,32.06,0.44,-25.91,19.06
95,29.85,29.85,7.6,74.23,0.46,-25.75,19.02
96,17.5,17.5,7.6,86.2,0.61,-24.94,18.83
97,10.67,10.67,7.6,43.46,0.31,-25.64,19.0
98,27.85,27.85,7.6,95.15,0.34,-25.33,18.92
99,27.59,27.59,7.6,31.31,0.82,-155.05,55.34
100,36.48,36.48,7.6,84.44,0.54,-25.85,19.05
101,44.31,44.31,7.6,41.71,0.53,-24.96,23.69
102,10.12,10.12,7.6,94.94,0.31,-25.35,18.93
103,28.5,28.5,7.6,59.05,0.42,-25.61,18.99
104,43.43,43.43,7.6,43.12,0.41,-27.29,24.19
105,37.36,37.36,7.6,95.01,0.63,-25.68,19.01
106,27.71,27.71,7.6,51.95,0.34,-26.08,19.1
107,5.07,5.07,7.6,59.56,0.49,-25.85,19.05
108,14.95,14.95,7.6,59.15,0.52,-25.69,19.01
109,18.74,18.74,7.6,37.17,0.16,-135.64,53.55
110,41.78,41.78,7.6,33.55,0.22,-32.42,30.43
111,22.0,22.0,7.6,14.73,0.69,-235.95,66.86
112,16.34,16.34,7.6,9.87,0.9,-25.81,19.04
113,37.09,37.09,7.6,99.83,0.51,-24.81,18.8
114,14.8,14.41,7.6,43.85,0.48,-25.4,18.94
115,33.42,33.42,7.6,39.67,0.83,-132.33,48.27
116,24.94,24.94,7.6,32.16,0.62,-25.7,19.01
117,21.06,21.06,7.6,19.88,0.44,-25.77,19.03
118,25.0,25.0,7.6,15.9,0.57,-260.52,68.64
119,34.18,34.18,7.6,13.94,0.44,-141.88,54.14
120,37.14,37.14,7.6,92.52,0.61,-25.72,19.02
121,16.56,16.56,7.6,89.65,0.35,-25.22,18.9
122,6.88,6.88,7.6,78.14,0.47,-20.32,17.67
123,11.55,11.55,7.6,26.98,0.44,-26.08,19.1
124,22.29,22.29,7.6,67.87,0.28,-25.15,18.88
125,38.82,38.82,7.6,13.72,0.38,-101.64,45.04
126,41.23,41.23,7.6,62.83,0.32,-11.8,20.5
127,30.97,30.29,7.6,74.45,0.67,-26.31,19.16
128,32.24,32.24,7.6,6.62,0.38,-156.34,60.55
129,25.72,25.1,7.6,90.18,0.6,-26.04,19.09
130,9.05,9.05,7.6,90.98,0.4,-25.31,18.92
131,8.93,8.93,7.6,38.4,0.43,-26.08,19.1
132,41.2,41.2,7.6,27.95,0.55,-58.94,34.67
133,20.6,20.6,7.6,4.28,0.2,-350.0,79.39
134,42.37,42.37,7.6,87.06,0.46,-22.15,18.14
135,13.19,13.19,7.6,36.35,0.41,-25.13,18.88
136,23.37,23.37,7.6,49.26,0.58,-25.2,18.89
137,30.77,30.09,7.6,33.84,0.63,-135.73,53.56
138,9.33,9.33,7.6,58.22,0.47,-25.96,19.07
139,42.26,42.26,7.6,2.26,0.37,-23.76,18.54
140,13.25,13.25,7.6,62.3,0.49,-25.3,18.92
141,31.78,31.78,7.6,44.38,0.8,-104.0,45.3
142,25.82,25.82,7.6,67.29,0.67,-26.01,19.08
143,28.7,28.7,7.6,23.24,0.49,-158.26,60.71
144,6.76,6.76,7.6,49.08,0.2,-24.94,18.83
145,11.27,11.27,7.6,87.75,0.5,-24.91,18.82
146,20.01,20.01,7.6,87.13,0.5,-25.86,19.05
147,26.9,26.9,7.6,77.48,0.59,-21.27,17.92
148,9.01,9.01,7.6,35.48,0.75,-25.72,19.02
149,35.11,35.11,7.6,89.55,0.65,-25.81,19.04
150,33.21,32.51,7.6,75.7,0.54,-26.78,19.27
151,19.27,19.27,7.6,47.24,0.48,-25.87,19.05
152,39.35,39.35,7.6,29.05,0.37,-92.6,39.12
153,43.46,42.68,7.6,64.65,0.43,-11.49,15.08
154,18.79,18.79,7.6,49.34,0.36,-70.46,41.36
155,7.83,7.83,7.6,28.74,0.21,-25.74,19.02
156,14.32,14.32,7.6,68.59,0.72,-25.0,18.84
157,19.09,19.09,7.6,48.2,0.46,-25.97,19.08
158,35.65,35.65,7.6,61.65,0.7,-25.59,18.99
159,39.16,39.16,7.6,19.99,0.86,-83.66,42.98
160,10.7,10.7,7.6,95.9,0.46,-26.12,19.11
161,22.1,22.1,7.6,73.42,0.67,-26.15,19.12
162,42.06,42.06,7.6,21.49,0.66,-69.93,36.21
163,32.64,32.64,7.6,51.82,0.54,-26.01,19.09
164,22.92,22.92,7.6,36.53,0.51,-25.88,19.05
165,12.4,12.4,7.6,85.6,0.4,-26.09,19.1
166,9.17,9.17,7.6,49.4,0.66,-26.12,19.11
167,5.88,5.88,7.6,73.84,0.04,-13.28,20.9
168,32.4,32.4,7.6,54.23,0.61,-25.87,19.05
169,11.28,11.28,7.6,60.58,0.44,-25.89,19.06
170,13.06,13.06,7.6,49.43,0.42,-26.03,19.09
171,16.83,16.83,7.6,48.01,0.48,-25.35,18.93
172,33.63,32.93,7.6,26.74,0.72,-106.09,50.63
173,26.07,26.07,7.6,9.33,0.46,-212.97,70.22
174,13.77,13.39,7.6,66.27,0.57,-25.28,18.91
175,32.83,32.83,7.6,74.23,0.55,-25.13,18.87
176,28.89,28.89,7.6,77.17,0.64,-21.62,18.01
177,38.49,38.49,7.6,83.25,0.36,-19.09,17.34
